cohort,profile,baseline,n_ri,objective_delta,time_delta_min,common_risk_delta,blockage_delta
random,fast,Greedy-Time-Base,4,-390.978202,-63.232945,-111.064149,-110.260311
random,fast,Greedy-Time-SoftPenalty,4,-43.477236,-8.050465,-7.744981,-7.646415
random,fast,Greedy-HazardAware,4,-45.292511,-8.876143,-5.872504,-5.72298
random,balanced,Greedy-Time-Base,4,-996.931298,-58.045876,-114.319398,-113.713254
random,balanced,Greedy-Time-SoftPenalty,4,-92.03112,-2.863396,-11.00023,-11.099358
random,balanced,Greedy-HazardAware,4,-70.309631,-9.931817,-7.008387,-6.822078
random,safe,Greedy-Time-Base,4,-4599.309338,-51.318289,-114.669222,-114.125225
random,safe,Greedy-Time-SoftPenalty,4,-452.784148,3.864191,-11.350054,-11.511329
random,safe,Greedy-HazardAware,4,-292.730248,-7.905249,-7.267188,-7.149417
hazard_opportunity,fast,Greedy-Time-Base,4,-433.776849,-69.873975,-124.462348,-123.516821
hazard_opportunity,fast,Greedy-Time-SoftPenalty,4,-49.16106,-9.059913,-8.945791,-8.813412
hazard_opportunity,fast,Greedy-HazardAware,4,-49.182008,-9.551773,-6.763454,-6.585388
hazard_opportunity,balanced,Greedy-Time-Base,4,-1114.100031,-64.825563,-127.761003,-127.024498
hazard_opportunity,balanced,Greedy-Time-SoftPenalty,4,-103.627395,-4.011501,-12.244447,-12.321088
hazard_opportunity,balanced,Greedy-HazardAware,4,-71.099461,-10.887088,-6.934661,-6.710075
hazard_opportunity,safe,Greedy-Time-Base,4,-5138.4003,-57.792163,-128.105915,-127.448028
hazard_opportunity,safe,Greedy-Time-SoftPenalty,4,-502.577694,3.021899,-12.589358,-12.744619
hazard_opportunity,safe,Greedy-HazardAware,4,-288.496286,-8.963333,-7.153965,-6.992645
risk_time_tradeoff,fast,Greedy-Time-Base,4,-172.778158,-26.173002,-57.01562,-56.683586
risk_time_tradeoff,fast,Greedy-Time-SoftPenalty,4,-84.357695,-15.933206,-13.63331,-13.37709
risk_time_tradeoff,fast,Greedy-HazardAware,4,-100.117079,-19.677436,-12.739933,-12.360939
risk_time_tradeoff,balanced,Greedy-Time-Base,4,-519.962576,-15.002659,-62.376075,-62.403691
risk_time_tradeoff,balanced,Greedy-Time-SoftPenalty,4,-158.638681,-4.762863,-18.993765,-19.097195
risk_time_tradeoff,balanced,Greedy-HazardAware,4,-203.78631,-33.15019,-19.526335,-18.858817
risk_time_tradeoff,safe,Greedy-Time-Base,4,-2524.898767,-7.301047,-63.09177,-63.225342
risk_time_tradeoff,safe,Greedy-Time-SoftPenalty,4,-787.326114,2.938749,-19.70946,-19.918846
risk_time_tradeoff,safe,Greedy-HazardAware,4,-820.439706,-30.281899,-20.311286,-19.768522
