cohort,scope,profile,n,success_rate,objective,time_min,distance_km,common_risk,flood,landslide,blockage,hops
random,all,fast,1500,1.0,947.812762,176.39286,24.394942,165.11407,1.339774,4.444751,162.221807,150.215333
random,all,balanced,1500,1.0,1558.800386,180.623155,26.250553,162.509871,1.437086,4.663748,159.459453,160.062
random,all,safe,1500,1.0,6538.553606,187.832289,29.395185,162.230011,1.383237,4.817033,159.129876,181.836667
random,hazard_ri,fast,1200,1.0,1135.81831,209.514349,25.005315,206.392587,1.674717,5.555938,202.777259,154.301667
random,hazard_ri,balanced,1200,1.0,1932.39937,214.701419,27.274429,203.137338,1.796358,5.829686,199.324316,166.875
random,hazard_ri,safe,1200,1.0,8169.399719,221.429006,30.063304,202.787514,1.729046,6.021292,198.912346,186.203334
hazard_opportunity,all,fast,1200,1.0,1183.127644,218.086819,26.019915,215.693142,1.723491,5.80681,211.927992,158.663333
hazard_opportunity,all,balanced,1200,1.0,2018.510131,223.135231,28.325341,212.394487,1.834755,6.113587,208.420316,171.661667
hazard_opportunity,all,safe,1200,1.0,8542.141734,230.16863,31.232121,212.049575,1.777659,6.327921,207.996785,190.988333
hazard_opportunity,hazard_ri,fast,1200,1.0,1183.127644,218.086819,26.019915,215.693142,1.723491,5.80681,211.927992,158.663333
hazard_opportunity,hazard_ri,balanced,1200,1.0,2018.510131,223.135231,28.325341,212.394487,1.834755,6.113587,208.420316,171.661667
hazard_opportunity,hazard_ri,safe,1200,1.0,8542.141734,230.16863,31.232121,212.049575,1.777659,6.327921,207.996785,190.988333
risk_time_tradeoff,all,fast,400,1.0,1240.797922,225.805059,24.33805,239.306639,1.567918,6.021995,235.511683,146.14
risk_time_tradeoff,all,balanced,400,1.0,2210.622234,236.975403,28.850015,233.946183,1.845421,6.463791,229.791577,171.3375
risk_time_tradeoff,all,safe,400,1.0,9393.070525,244.677015,32.080701,233.230489,1.797002,6.724123,228.969927,193.0475
risk_time_tradeoff,hazard_ri,fast,400,1.0,1240.797922,225.805059,24.33805,239.306639,1.567918,6.021995,235.511683,146.14
risk_time_tradeoff,hazard_ri,balanced,400,1.0,2210.622234,236.975403,28.850015,233.946183,1.845421,6.463791,229.791577,171.3375
risk_time_tradeoff,hazard_ri,safe,400,1.0,9393.070525,244.677015,32.080701,233.230489,1.797002,6.724123,228.969927,193.0475
