profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,64.404448,67.501492,-3.097044,0.0,0.0,0.0,0.0,0.0,0.0,44.310102,46.402692,-2.09259,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,64.404448,67.501492,-3.097044,0.0,0.0,0.0,0.0,0.0,0.0,44.310102,46.402692,-2.09259,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,64.404448,67.448434,-3.043986,0.0,0.0,0.0,0.0,0.0,0.0,44.310102,46.392043,-2.081941,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,546.494888,1139.278657,-592.783769,52.394348,123.804962,-71.410614,52.394348,123.804962,-71.410614,88.324932,103.55517,-15.230238,49.854945,121.120763,-71.265818
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,546.494888,588.448059,-41.953171,52.394348,59.042325,-6.647977,52.394348,59.042325,-6.647977,88.324932,80.517193,7.807739,49.854945,57.1294,-7.274455
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,546.494888,559.223653,-12.728765,52.394348,53.277492,-0.883144,52.394348,53.277492,-0.883144,88.324932,92.235739,-3.910807,49.854945,50.603942,-0.748997
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1362.045517,2348.307495,-986.261978,145.232345,261.229269,-115.996924,145.232345,261.229269,-115.996924,139.417169,180.590332,-41.173163,141.644314,256.9732,-115.328886
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1362.045517,1431.544176,-69.498659,145.232345,153.863627,-8.631282,145.232345,153.863627,-8.631282,139.417169,139.797003,-0.379834,141.644314,150.307827,-8.663513
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1362.045517,1388.23149,-26.185973,145.232345,147.687424,-2.455079,145.232345,147.687424,-2.455079,139.417169,143.950906,-4.533737,141.644314,143.936858,-2.292544
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2666.336033,3876.811579,-1210.475546,286.731382,424.868776,-138.137394,286.731382,424.868776,-138.137394,260.470146,334.682618,-74.212472,282.272811,419.603902,-137.331091
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2666.336033,2782.809922,-116.473889,286.731382,300.270223,-13.538841,286.731382,300.270223,-13.538841,260.470146,266.221515,-5.751369,282.272811,295.746646,-13.473835
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2666.336033,2775.681717,-109.345684,286.731382,298.101643,-11.370261,286.731382,298.101643,-11.370261,260.470146,273.31569,-12.845544,282.272811,293.440354,-11.167543
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3154.721042,4352.92494,-1198.203898,328.191278,459.923937,-131.732659,328.191278,459.923937,-131.732659,370.593428,472.161059,-101.567631,323.525196,454.452416,-130.92722
