profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI1,Greedy-HazardAware,300,1.0,5.0,67.448434,46.392043,23196.021568,0.0,0.0,0.0,0.0,0.0,140.84,0.0,45.560534
balanced,RI1,Greedy-Time-Base,300,1.0,5.0,67.501492,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,44.869025
balanced,RI1,Greedy-Time-SoftPenalty,300,1.0,5.0,67.501492,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,49.84056
balanced,RI1,Macro-DP-Oracle,300,1.0,5.0,63.418624,43.630667,21815.333497,0.0,0.0,0.0,0.0,0.0,130.946667,0.0,0.05154
balanced,RI1,Macro-DQN,300,1.0,5.0,64.404448,44.310102,22155.051171,0.0,0.0,0.0,0.0,0.0,132.81,0.0,53.016206
balanced,RI2,Greedy-HazardAware,300,1.0,5.0,559.223653,92.235739,30832.167552,53.277492,53.277492,0.0,5.3471,50.603942,170.423333,0.0,46.471844
balanced,RI2,Greedy-Time-Base,300,1.0,5.0,1139.278657,103.55517,22410.096286,123.804962,123.804962,0.0,5.368399,121.120763,142.603333,0.0,45.732303
balanced,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,588.448059,80.517193,24700.783857,59.042325,59.042325,0.0,3.82585,57.1294,149.156667,0.0,46.945736
balanced,RI2,Macro-DP-Oracle,300,1.0,5.0,542.775765,85.694264,28095.962474,52.406938,52.406938,0.0,4.931181,49.941348,153.27,0.0,0.052096
balanced,RI2,Macro-DQN,300,1.0,5.0,546.494888,88.324932,29273.824545,52.394348,52.394348,0.0,5.078806,49.854945,160.773333,0.0,51.343748
balanced,RI3,Greedy-HazardAware,300,1.0,5.0,1388.23149,143.950906,27988.550871,147.687424,147.687424,2.898781,4.602351,143.936858,181.5,0.0,48.433304
balanced,RI3,Greedy-Time-Base,300,1.0,5.0,2348.307495,180.590332,21840.33276,261.229269,261.229269,2.022024,6.490113,256.9732,139.926667,0.0,46.475105
balanced,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,1431.544176,139.797003,25442.806522,153.863627,153.863627,2.498972,4.612628,150.307827,163.123333,0.0,44.315455
balanced,RI3,Macro-DP-Oracle,300,1.0,5.0,1355.203822,136.909278,26013.029321,144.831662,144.831662,2.451155,4.496344,141.357912,165.733333,0.0,0.053386
balanced,RI3,Macro-DQN,300,1.0,5.0,1362.045517,139.417169,26792.415059,145.232345,145.232345,2.651829,4.524232,141.644314,172.353333,0.0,49.076528
balanced,RI4,Greedy-HazardAware,300,1.0,5.0,2775.681717,273.31569,28451.295805,298.101643,298.101643,2.328891,6.993687,293.440354,179.803333,0.0,48.563662
balanced,RI4,Greedy-Time-Base,300,1.0,5.0,3876.811579,334.682618,22714.547202,424.868776,424.868776,2.656932,7.872818,419.603902,143.373333,0.0,49.15333
balanced,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,2782.809922,266.221515,26928.726227,300.270223,300.270223,1.988201,7.058953,295.746646,167.63,0.0,51.49506
balanced,RI4,Macro-DP-Oracle,300,1.0,5.0,2652.844935,257.606864,26517.11447,285.561037,285.561037,2.029038,6.782964,281.155036,164.793333,0.0,0.05744
balanced,RI4,Macro-DQN,300,1.0,5.0,2666.336033,260.470146,27151.056787,286.731382,286.731382,2.071919,6.845223,282.272811,170.033333,0.0,54.009111
balanced,RI5,Greedy-HazardAware,300,1.0,5.0,3287.699143,389.030606,27714.143127,341.51634,341.51634,2.628234,7.195596,336.604425,177.53,0.0,52.350066
balanced,RI5,Greedy-Time-Base,300,1.0,5.0,4352.92494,472.161059,21913.172463,459.923937,459.923937,3.437439,7.505603,454.452416,140.24,0.0,44.770783
balanced,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,3294.919803,383.723548,26507.524408,343.374099,343.374099,2.480002,7.246544,338.510825,168.86,0.0,48.876832
balanced,RI5,Macro-DP-Oracle,300,1.0,5.0,3131.50239,367.27239,25433.246109,325.884084,325.884084,2.442873,6.781479,321.271908,160.986667,0.0,0.05594
balanced,RI5,Macro-DQN,300,1.0,5.0,3154.721042,370.593428,25880.418301,328.191278,328.191278,2.461683,6.870481,323.525196,164.34,0.0,51.692938
fast,RI1,Greedy-HazardAware,300,1.0,5.0,207.099773,46.435951,23217.975621,0.0,0.0,0.0,0.0,0.0,144.743333,0.0,43.965486
fast,RI1,Greedy-Time-Base,300,1.0,5.0,206.951342,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,45.785953
fast,RI1,Greedy-Time-SoftPenalty,300,1.0,5.0,206.951342,46.402692,23201.345868,0.0,0.0,0.0,0.0,0.0,144.63,0.0,43.123686
fast,RI1,Macro-DP-Oracle,300,1.0,5.0,194.535532,43.626672,21813.336098,0.0,0.0,0.0,0.0,0.0,132.473333,0.0,0.051039
fast,RI1,Macro-DQN,300,1.0,5.0,195.790571,43.906904,21953.452112,0.0,0.0,0.0,0.0,0.0,133.87,0.0,48.923354
fast,RI2,Greedy-HazardAware,300,1.0,5.0,417.0992,80.7721,25032.659537,57.876891,57.876891,0.0,3.868825,55.942479,150.44,0.0,42.958398
fast,RI2,Greedy-Time-Base,300,1.0,5.0,583.848992,103.55517,22410.096286,123.804962,123.804962,0.0,5.368399,121.120763,142.603333,0.0,42.557625
fast,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,417.122885,80.517193,24700.783857,59.042325,59.042325,0.0,3.82585,57.1294,149.156667,0.0,44.083846
fast,RI2,Macro-DP-Oracle,300,1.0,5.0,399.740659,77.116389,23570.897483,56.826743,56.826743,0.0,3.81514,54.919173,138.616667,0.0,0.048059
fast,RI2,Macro-DQN,300,1.0,5.0,403.484741,77.953254,23950.501065,56.836145,56.836145,0.0,3.832033,54.920128,141.46,0.0,44.908926
