profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,638.127269,1393.273822,-755.146553,62.28058,152.619377,-90.338797,62.28058,152.619377,-90.338797,97.078765,120.001306,-22.922541,59.505653,149.486476,-89.980823
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,638.127269,689.531026,-51.403757,62.28058,70.006714,-7.726134,62.28058,70.006714,-7.726134,97.078765,89.850264,7.228501,59.505653,67.912251,-8.406598
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,638.127269,652.81352,-14.686251,62.28058,63.182899,-0.902319,62.28058,63.182899,-0.902319,97.078765,102.24401,-5.165245,59.505653,60.207037,-0.701384
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1436.927361,2558.313641,-1121.38628,153.323813,284.921935,-131.598122,153.323813,284.921935,-131.598122,146.501879,194.935016,-48.433137,149.548289,280.310478,-130.762189
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1436.927361,1495.79049,-58.863129,153.323813,160.551695,-7.227882,153.323813,160.551695,-7.227882,146.501879,147.277309,-0.77543,149.548289,156.763299,-7.21501
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1436.927361,1458.34802,-21.420659,153.323813,155.119215,-1.795402,153.323813,155.119215,-1.795402,146.501879,151.379812,-4.877933,149.548289,151.142924,-1.594635
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2700.211396,3923.533174,-1223.321778,290.74421,430.331824,-139.587614,290.74421,430.331824,-139.587614,261.732209,336.823211,-75.091002,286.282068,425.034532,-138.752464
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2700.211396,2835.531775,-135.320379,290.74421,306.341889,-15.597679,290.74421,306.341889,-15.597679,261.732209,269.146887,-7.414678,286.282068,301.753542,-15.471474
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2700.211396,2809.387498,-109.176102,290.74421,301.950503,-11.206293,290.74421,301.950503,-11.206293,261.732209,275.363124,-13.630915,286.282068,297.24758,-10.965512
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3298.774499,4655.320013,-1356.545514,343.229345,492.748825,-149.51948,343.229345,492.748825,-149.51948,387.22807,500.08364,-112.85557,338.345252,486.947766,-148.602514
