profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI2,Greedy-HazardAware,300,1.0,5.0,652.81352,102.24401,33376.515488,63.182899,63.182899,0.0,5.951724,60.207037,180.386667,0.0,0.067733
balanced,RI2,Greedy-Time-Base,300,1.0,5.0,1393.273822,120.001306,24203.575363,152.619377,152.619377,0.0,6.2658,149.486476,149.446667,0.0,0.966608
balanced,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,689.531026,89.850264,26791.393405,70.006714,70.006714,0.0,4.188926,67.912251,157.36,0.0,44.225485
balanced,RI2,Macro-DP-Oracle,300,1.0,5.0,634.241758,94.088402,29926.464114,62.337601,62.337601,0.0,5.391611,59.641795,160.416667,0.0,0.052952
balanced,RI2,Macro-DQN,300,1.0,5.0,638.127269,97.078765,31274.545914,62.28058,62.28058,0.0,5.549854,59.505653,168.9,0.0,52.282409
balanced,RI3,Greedy-HazardAware,300,1.0,5.0,1458.34802,151.379812,29533.82299,155.119215,155.119215,2.974138,4.978444,151.142924,190.2,0.0,0.070777
balanced,RI3,Greedy-Time-Base,300,1.0,5.0,2558.313641,194.935016,23145.217744,284.921935,284.921935,2.12341,7.099504,280.310478,144.413333,0.0,0.942729
balanced,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,1495.79049,147.277309,27122.569612,160.551695,160.551695,2.61559,4.961202,156.763299,172.463333,0.0,44.715846
balanced,RI3,Macro-DP-Oracle,300,1.0,5.0,1430.36117,143.815752,27308.890342,152.990742,152.990742,2.435294,4.861244,149.342473,171.053333,0.0,0.052736
balanced,RI3,Macro-DQN,300,1.0,5.0,1436.927361,146.501879,28148.247172,153.323813,153.323813,2.665378,4.88567,149.548289,178.84,0.0,46.167926
balanced,RI4,Greedy-HazardAware,300,1.0,5.0,2809.387498,275.363124,28332.911614,301.950503,301.950503,2.362472,7.043374,297.24758,179.836667,0.0,0.064759
balanced,RI4,Greedy-Time-Base,300,1.0,5.0,3923.533174,336.823211,22266.279254,430.331824,430.331824,2.694338,7.900247,425.034532,140.376667,0.0,0.943731
balanced,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,2835.531775,269.146887,26696.351103,306.341889,306.341889,2.028147,7.148547,301.753542,166.05,0.0,46.164306
balanced,RI4,Macro-DP-Oracle,300,1.0,5.0,2681.79856,258.758248,26121.23728,288.976817,288.976817,2.07358,6.745848,284.567103,163.63,0.0,0.053422
balanced,RI4,Macro-DQN,300,1.0,5.0,2700.211396,261.732209,26589.9693,290.74421,290.74421,2.141668,6.782616,286.282068,167.65,0.0,47.215857
balanced,RI5,Greedy-HazardAware,300,1.0,5.0,3437.889329,407.102329,29213.506963,357.063975,357.063975,2.744069,7.535844,351.924019,185.893333,0.0,0.06856
balanced,RI5,Greedy-Time-Base,300,1.0,5.0,4655.320013,500.08364,23188.710107,492.748825,492.748825,3.463663,8.138454,486.947766,145.0,0.0,0.967857
balanced,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,3467.696814,402.312466,28030.811567,361.655436,361.655436,2.504232,7.733593,356.536523,175.32,0.0,45.232277
balanced,RI5,Macro-DP-Oracle,300,1.0,5.0,3283.103648,385.089089,26902.136314,341.654078,341.654078,2.542106,7.129801,336.818125,168.873333,0.0,0.05643
balanced,RI5,Macro-DQN,300,1.0,5.0,3298.774499,387.22807,27288.600311,343.229345,343.229345,2.531976,7.23621,338.345252,171.256667,0.0,54.222734
fast,RI2,Greedy-HazardAware,300,1.0,5.0,469.123685,90.050681,27108.757783,68.729936,68.729936,0.0,4.277045,66.591414,158.35,0.0,52.351385
fast,RI2,Greedy-Time-Base,300,1.0,5.0,685.567355,120.001306,24203.575363,152.619377,152.619377,0.0,6.2658,149.486476,149.446667,0.0,49.5944
fast,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,469.50297,89.850264,26791.393405,70.006714,70.006714,0.0,4.188926,67.912251,157.36,0.0,49.129895
fast,RI2,Macro-DP-Oracle,300,1.0,5.0,449.4513,85.990401,25569.25472,67.158141,67.158141,0.0,4.185487,65.065398,146.48,0.0,0.054638
fast,RI2,Macro-DQN,300,1.0,5.0,453.843525,86.936305,25960.790948,67.335744,67.335744,0.0,4.227237,65.222126,149.026667,0.0,56.138567
fast,RI3,Greedy-HazardAware,300,1.0,5.0,813.219184,147.733912,27695.483304,157.183386,157.183386,2.908005,4.918704,153.270032,176.203333,0.0,43.918572
fast,RI3,Greedy-Time-Base,300,1.0,5.0,1149.68083,194.935016,23145.217744,284.921935,284.921935,2.12341,7.099504,280.310478,144.413333,0.0,37.933588
fast,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,814.527923,147.277309,27122.569612,160.551695,160.551695,2.61559,4.961202,156.763299,172.463333,0.0,41.146803
fast,RI3,Macro-DP-Oracle,300,1.0,5.0,782.548802,141.056814,25588.150412,156.257507,156.257507,2.388618,4.804126,152.661135,158.86,0.0,0.046752
fast,RI3,Macro-DQN,300,1.0,5.0,786.996287,142.079624,25906.340688,156.150644,156.150644,2.521138,4.827862,152.476145,161.32,0.0,42.659352
fast,RI4,Greedy-HazardAware,300,1.0,5.0,1500.379906,269.571859,26995.156323,304.832674,304.832674,2.063796,7.136721,300.232416,168.596667,0.0,46.401743
fast,RI4,Greedy-Time-Base,300,1.0,5.0,1923.435008,336.823211,22266.279254,430.331824,430.331824,2.694338,7.900247,425.034532,140.376667,0.0,42.636313
fast,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,1499.981569,269.146887,26696.351103,306.341889,306.341889,2.028147,7.148547,301.753542,166.05,0.0,44.190181
fast,RI4,Macro-DP-Oracle,300,1.0,5.0,1424.88968,255.332231,25182.79124,292.532195,292.532195,1.841149,6.849534,288.186853,155.97,0.0,0.051241
fast,RI4,Macro-DQN,300,1.0,5.0,1435.347509,257.385268,25422.039758,293.879645,293.879645,1.902447,6.859422,289.498711,157.773333,0.0,49.936331
fast,RI5,Greedy-HazardAware,300,1.0,5.0,2146.515831,403.197917,28379.698319,359.080392,359.080392,2.591269,7.650195,353.95966,178.03,0.0,46.455124
fast,RI5,Greedy-Time-Base,300,1.0,5.0,2708.934779,500.08364,23188.710107,492.748825,492.748825,3.463663,8.138454,486.947766,145.0,0.0,47.404084
fast,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,2145.142354,402.312466,28030.811567,361.655436,361.655436,2.504232,7.733593,356.536523,175.32,0.0,44.173117
fast,RI5,Macro-DP-Oracle,300,1.0,5.0,2041.320749,382.852356,26338.456756,344.141095,344.141095,2.431327,7.242548,339.304157,162.953333,0.0,0.050735
fast,RI5,Macro-DQN,300,1.0,5.0,2056.323255,385.946078,26790.4875,345.406537,345.406537,2.470379,7.312719,340.514987,166.533333,0.0,47.981288
safe,RI2,Greedy-HazardAware,300,1.0,5.0,2516.093089,111.501976,37668.355293,62.147202,62.147202,0.0,6.591616,58.851394,198.716667,0.0,42.209693
safe,RI2,Greedy-Time-Base,300,1.0,5.0,6136.638301,120.001306,24203.575363,152.619377,152.619377,0.0,6.2658,149.486476,149.446667,0.0,40.244073
safe,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,2824.580613,89.850264,26791.393405,70.006714,70.006714,0.0,4.188926,67.912251,157.36,0.0,45.362686
safe,RI2,Macro-DP-Oracle,300,1.0,5.0,2472.563864,104.673165,34840.888486,61.10653,61.10653,0.0,6.12719,58.042935,181.3,0.0,0.04779
safe,RI2,Macro-DQN,300,1.0,5.0,2480.184564,109.430332,36948.161138,61.26297,61.26297,0.0,6.335815,58.095062,197.22,0.0,44.505765
safe,RI3,Greedy-HazardAware,300,1.0,5.0,6239.598968,157.873759,32843.272357,154.936663,154.936663,2.385687,5.002739,151.242449,217.93,0.0,40.766646
safe,RI3,Greedy-Time-Base,300,1.0,5.0,11447.653788,194.935016,23145.217744,284.921935,284.921935,2.12341,7.099504,280.310478,144.413333,0.0,41.983042
safe,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,6461.063945,147.277309,27122.569612,160.551695,160.551695,2.61559,4.961202,156.763299,172.463333,0.0,39.676223
safe,RI3,Macro-DP-Oracle,300,1.0,5.0,6149.704261,148.606971,29805.659054,152.754379,152.754379,1.965248,4.875342,149.334085,192.106667,0.0,0.047741
safe,RI3,Macro-DQN,300,1.0,5.0,6170.47662,156.335771,32577.411443,153.218721,153.218721,2.358555,4.920166,149.579361,216.383333,0.0,42.675716
safe,RI4,Greedy-HazardAware,300,1.0,5.0,12173.129567,278.790254,29205.091865,302.517498,302.517498,2.398845,7.04389,297.79613,187.61,0.0,43.528814
safe,RI4,Greedy-Time-Base,300,1.0,5.0,17299.916707,336.823211,22266.279254,430.331824,430.331824,2.694338,7.900247,425.034532,140.376667,0.0,38.199857
safe,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,12323.449145,269.146887,26696.351103,306.341889,306.341889,2.028147,7.148547,301.753542,166.05,0.0,41.955927
safe,RI4,Macro-DP-Oracle,300,1.0,5.0,11619.736328,261.308277,26842.355289,288.797683,288.797683,2.111205,6.72908,284.377541,169.963333,0.0,0.048438
safe,RI4,Macro-DQN,300,1.0,5.0,11696.187001,265.136576,27612.551787,290.683205,290.683205,2.167703,6.812995,286.192856,176.06,0.0,43.624954
safe,RI5,Greedy-HazardAware,300,1.0,5.0,14393.730454,408.361862,29395.763812,357.212795,357.212795,2.780191,7.509902,352.067749,187.436667,0.0,42.240567
safe,RI5,Greedy-Time-Base,300,1.0,5.0,19837.959337,500.08364,23188.710107,492.748825,492.748825,3.463663,8.138454,486.947766,145.0,0.0,45.207209
safe,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,14569.784007,402.312466,28030.811567,361.655436,361.655436,2.504232,7.733593,356.536523,175.32,0.0,43.392942
safe,RI5,Macro-DP-Oracle,300,1.0,5.0,13761.779592,386.264053,27098.898336,341.55802,341.55802,2.569946,7.111647,336.717224,170.68,0.0,0.049407
safe,RI5,Macro-DQN,300,1.0,5.0,13821.71875,389.771841,27790.361199,343.033404,343.033404,2.584377,7.242708,338.119862,174.29,0.0,45.167536
