profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,649.413028,1019.864009,-370.450981,63.023872,110.007362,-46.98349,63.023872,110.007362,-46.98349,100.755861,97.203585,3.552276,60.17258,107.403065,-47.230485
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,649.413028,710.570834,-61.157806,63.023872,73.178304,-10.154432,63.023872,73.178304,-10.154432,100.755861,86.824027,13.931834,60.17258,71.133761,-10.961181
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,649.413028,687.056448,-37.64342,63.023872,65.231944,-2.208072,63.023872,65.231944,-2.208072,100.755861,114.581825,-13.825964,60.17258,61.84051,-1.66793
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1618.248428,2058.885805,-440.637377,174.126421,228.58385,-54.457429,174.126421,228.58385,-54.457429,156.986236,160.853652,-3.867416,170.191095,224.837485,-54.64639
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1618.248428,1747.004765,-128.756337,174.126421,190.162766,-16.036345,174.126421,190.162766,-16.036345,156.986236,157.424503,-0.438267,170.191095,186.311408,-16.120313
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1618.248428,1716.538689,-98.290261,174.126421,183.304066,-9.177645,174.126421,183.304066,-9.177645,156.986236,174.227438,-17.241202,170.191095,178.789115,-8.59802
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2985.775292,3590.76009,-604.984798,322.583674,394.768918,-72.185244,322.583674,394.768918,-72.185244,283.37867,302.979819,-19.601149,317.792437,389.9264,-72.133963
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2985.775292,3182.842617,-197.067325,322.583674,345.581872,-22.998198,322.583674,345.581872,-22.998198,283.37867,292.609895,-9.231225,317.792437,340.696668,-22.904231
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2985.775292,3279.568743,-293.793451,322.583674,352.080674,-29.497,322.583674,352.080674,-29.497,283.37867,323.699858,-40.321188,317.792437,346.608536,-28.816099
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3589.052189,4252.829339,-663.77715,376.050767,451.928906,-75.878139,376.050767,451.928906,-75.878139,406.780845,446.875192,-40.094347,371.010198,446.614123,-75.603925
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3589.052189,3836.625446,-247.573257,376.050767,402.836853,-26.786086,376.050767,402.836853,-26.786086,406.780845,430.094639,-23.313794,371.010198,397.413253,-26.403055
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3589.052189,3974.470296,-385.418107,376.050767,413.27339,-37.222623,376.050767,413.27339,-37.222623,406.780845,467.993251,-61.212406,371.010198,407.363417,-36.353219
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,444.944408,541.929697,-96.985289,71.165387,110.007362,-38.841975,71.165387,110.007362,-38.841975,84.066229,97.203585,-13.137356,69.148799,107.403065,-38.254266
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,444.944408,459.247169,-14.302761,71.165387,73.178304,-2.012917,71.165387,73.178304,-2.012917,84.066229,86.824027,-2.757798,69.148799,71.133761,-1.984962
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,444.944408,465.904169,-20.959761,71.165387,72.712072,-1.546685,71.165387,72.712072,-1.546685,84.066229,88.426638,-4.360409,69.148799,70.620637,-1.471838
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,834.270578,942.197916,-107.927338,180.50973,228.58385,-48.07412,180.50973,228.58385,-48.07412,147.293466,160.853652,-13.560186,176.881591,224.837485,-47.955894
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,834.270578,888.959152,-54.688574,180.50973,190.162766,-9.653036,180.50973,190.162766,-9.653036,147.293466,157.424503,-10.131037,176.881591,186.311408,-9.429817
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,834.270578,898.232363,-63.961785,180.50973,187.412284,-6.902554,180.50973,187.412284,-6.902554,147.293466,160.121707,-12.828241,176.881591,183.329548,-6.447957
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1532.682735,1737.895754,-205.213019,326.871894,394.768918,-67.897024,326.871894,394.768918,-67.897024,271.937429,302.979819,-31.04239,322.304071,389.9264,-67.622329
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1532.682735,1643.123802,-110.441067,326.871894,345.581872,-18.709978,326.871894,345.581872,-18.709978,271.937429,292.609895,-20.672466,322.304071,340.696668,-18.392597
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1532.682735,1677.970098,-145.287363,326.871894,348.112254,-21.24036,326.871894,348.112254,-21.24036,271.937429,299.881823,-27.944394,322.304071,343.06336,-20.759289
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2151.293966,2432.280954,-280.986988,378.679545,451.928906,-73.249361,378.679545,451.928906,-73.249361,399.923114,446.875192,-46.952078,373.712269,446.614123,-72.901854
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2151.293966,2309.292343,-157.998377,378.679545,402.836853,-24.157308,378.679545,402.836853,-24.157308,399.923114,430.094639,-30.171525,373.712269,397.413253,-23.700984
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2151.293966,2321.553373,-170.259407,378.679545,399.94968,-21.270135,378.679545,399.94968,-21.270135,399.923114,433.499814,-33.5767,373.712269,394.476941,-20.764672
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2512.312232,4426.327614,-1914.015382,62.028221,110.007362,-47.979141,62.028221,110.007362,-47.979141,114.857797,97.203585,17.654212,58.702324,107.403065,-48.700741
safe,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2512.312232,2950.653362,-438.34113,62.028221,73.178304,-11.150083,62.028221,73.178304,-11.150083,114.857797,86.824027,28.03377,58.702324,71.133761,-12.431437
safe,RI2,Greedy-HazardAware,1.0,1.0,0.0,2512.312232,2607.604902,-95.29267,62.028221,64.360802,-2.332581,62.028221,64.360802,-2.332581,114.857797,122.241935,-7.384138,58.702324,60.703198,-2.000874
safe,RI3,Greedy-Time-Base,1.0,1.0,0.0,7001.427675,9185.297797,-2183.870122,173.916931,228.58385,-54.666919,173.916931,228.58385,-54.666919,168.16169,160.853652,7.308038,170.085019,224.837485,-54.752466
safe,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,7001.427675,7647.955706,-646.528031,173.916931,190.162766,-16.245835,173.916931,190.162766,-16.245835,168.16169,157.424503,10.737187,170.085019,186.311408,-16.226389
safe,RI3,Greedy-HazardAware,1.0,1.0,0.0,7001.427675,7360.814641,-359.386966,173.916931,182.812951,-8.89602,173.916931,182.812951,-8.89602,168.16169,181.173339,-13.011649,170.085019,178.663786,-8.578767
safe,RI4,Greedy-Time-Base,1.0,1.0,0.0,12919.088815,15868.742638,-2949.653823,321.122849,394.768918,-73.646069,321.122849,394.768918,-73.646069,286.036886,302.979819,-16.942933,316.308577,389.9264,-73.617823
safe,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,12919.088815,13898.977163,-979.888348,321.122849,345.581872,-24.459023,321.122849,345.581872,-24.459023,286.036886,292.609895,-6.573009,316.308577,340.696668,-24.388091
safe,RI4,Greedy-HazardAware,1.0,1.0,0.0,12919.088815,14211.590296,-1292.501481,321.122849,353.15929,-32.036441,321.122849,353.15929,-32.036441,286.036886,327.874504,-41.837618,316.308577,347.660247,-31.35167
safe,RI5,Greedy-Time-Base,1.0,1.0,0.0,15139.453376,18191.509119,-3052.055743,375.853955,451.928906,-76.074951,375.853955,451.928906,-76.074951,409.651688,446.875192,-37.223504,370.783786,446.614123,-75.830337
safe,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,15139.453376,16224.000321,-1084.546945,375.853955,402.836853,-26.982898,375.853955,402.836853,-26.982898,409.651688,430.094639,-20.442951,370.783786,397.413253,-26.629467
safe,RI5,Greedy-HazardAware,1.0,1.0,0.0,15139.453376,16674.031082,-1534.577706,375.853955,413.834058,-37.980103,375.853955,413.834058,-37.980103,409.651688,468.545879,-58.894191,370.783786,407.926564,-37.142778
