profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,64.208109,67.501492,-3.293383,0.0,0.0,0.0,0.0,0.0,0.0,44.170515,46.402692,-2.232177,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,64.208109,67.501492,-3.293383,0.0,0.0,0.0,0.0,0.0,0.0,44.170515,46.402692,-2.232177,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,64.208109,67.448434,-3.240325,0.0,0.0,0.0,0.0,0.0,0.0,44.170515,46.392043,-2.221528,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,546.724052,1139.278657,-592.554605,52.343328,123.804962,-71.461634,52.343328,123.804962,-71.461634,88.762714,103.55517,-14.792456,49.786181,121.120763,-71.334582
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,546.724052,588.448059,-41.724007,52.343328,59.042325,-6.698997,52.343328,59.042325,-6.698997,88.762714,80.517193,8.245521,49.786181,57.1294,-7.343219
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,546.724052,559.223653,-12.499601,52.343328,53.277492,-0.934164,52.343328,53.277492,-0.934164,88.762714,92.235739,-3.473025,49.786181,50.603942,-0.817761
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1362.03438,2348.307495,-986.273115,145.177944,261.229269,-116.051325,145.177944,261.229269,-116.051325,139.706642,180.590332,-40.88369,141.596967,256.9732,-115.376233
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1362.03438,1431.544176,-69.509796,145.177944,153.863627,-8.685683,145.177944,153.863627,-8.685683,139.706642,139.797003,-0.090361,141.596967,150.307827,-8.71086
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1362.03438,1388.23149,-26.19711,145.177944,147.687424,-2.50948,145.177944,147.687424,-2.50948,139.706642,143.950906,-4.244264,141.596967,143.936858,-2.339891
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2665.493343,3876.811579,-1211.318236,286.598359,424.868776,-138.270417,286.598359,424.868776,-138.270417,260.622371,334.682618,-74.060247,282.138949,419.603902,-137.464953
