profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,637.893387,1393.273822,-755.380435,62.112969,152.619377,-90.506408,62.112969,152.619377,-90.506408,97.840915,120.001306,-22.160391,59.33053,149.486476,-90.155946
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,637.893387,689.531026,-51.637639,62.112969,70.006714,-7.893745,62.112969,70.006714,-7.893745,97.840915,89.850264,7.990651,59.33053,67.912251,-8.581721
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,637.893387,652.81352,-14.920133,62.112969,63.182899,-1.06993,62.112969,63.182899,-1.06993,97.840915,102.24401,-4.403095,59.33053,60.207037,-0.876507
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1437.472678,2558.313641,-1120.840963,153.310416,284.921935,-131.611519,153.310416,284.921935,-131.611519,146.943126,194.935016,-47.99189,149.541279,280.310478,-130.769199
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1437.472678,1495.79049,-58.317812,153.310416,160.551695,-7.241279,153.310416,160.551695,-7.241279,146.943126,147.277309,-0.334183,149.541279,156.763299,-7.22202
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1437.472678,1458.34802,-20.875342,153.310416,155.119215,-1.808799,153.310416,155.119215,-1.808799,146.943126,151.379812,-4.436686,149.541279,151.142924,-1.601645
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2698.936358,3923.533174,-1224.596816,290.562891,430.331824,-139.768933,290.562891,430.331824,-139.768933,261.85206,336.823211,-74.971151,286.099764,425.034532,-138.934768
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2698.936358,2835.531775,-136.595417,290.562891,306.341889,-15.778998,290.562891,306.341889,-15.778998,261.85206,269.146887,-7.294827,286.099764,301.753542,-15.653778
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2698.936358,2809.387498,-110.45114,290.562891,301.950503,-11.387612,290.562891,301.950503,-11.387612,261.85206,275.363124,-13.511064,286.099764,297.24758,-11.147816
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3300.117232,4655.320013,-1355.202781,343.232704,492.748825,-149.516121,343.232704,492.748825,-149.516121,388.14359,500.08364,-111.94005,338.336893,486.947766,-148.610873
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3300.117232,3467.696814,-167.579582,343.232704,361.655436,-18.422732,343.232704,361.655436,-18.422732,388.14359,402.312466,-14.168876,338.336893,356.536523,-18.19963
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3300.117232,3437.889329,-137.772097,343.232704,357.063975,-13.831271,343.232704,357.063975,-13.831271,388.14359,407.102329,-18.958739,338.336893,351.924019,-13.587126
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,453.444285,685.567355,-232.12307,67.258101,152.619377,-85.361276,67.258101,152.619377,-85.361276,86.863388,120.001306,-33.137918,65.152371,149.486476,-84.334105
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,453.444285,469.50297,-16.058685,67.258101,70.006714,-2.748613,67.258101,70.006714,-2.748613,86.863388,89.850264,-2.986876,65.152371,67.912251,-2.75988
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,453.444285,469.123685,-15.6794,67.258101,68.729936,-1.471835,67.258101,68.729936,-1.471835,86.863388,90.050681,-3.187293,65.152371,66.591414,-1.439043
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,786.996771,1149.68083,-362.684059,156.245876,284.921935,-128.676059,156.245876,284.921935,-128.676059,142.058433,194.935016,-52.876583,152.57788,280.310478,-127.732598
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,786.996771,814.527923,-27.531152,156.245876,160.551695,-4.305819,156.245876,160.551695,-4.305819,142.058433,147.277309,-5.218876,152.57788,156.763299,-4.185419
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,786.996771,813.219184,-26.222413,156.245876,157.183386,-0.93751,156.245876,157.183386,-0.93751,142.058433,147.733912,-5.675479,152.57788,153.270032,-0.692152
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1435.473711,1923.435008,-487.961297,293.971392,430.331824,-136.360432,293.971392,430.331824,-136.360432,257.392769,336.823211,-79.430442,289.591305,425.034532,-135.443227
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1435.473711,1499.981569,-64.507858,293.971392,306.341889,-12.370497,293.971392,306.341889,-12.370497,257.392769,269.146887,-11.754118,289.591305,301.753542,-12.162237
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1435.473711,1500.379906,-64.906195,293.971392,304.832674,-10.861282,293.971392,304.832674,-10.861282,257.392769,269.571859,-12.17909,289.591305,300.232416,-10.641111
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2054.693914,2708.934779,-654.240865,345.559927,492.748825,-147.188898,345.559927,492.748825,-147.188898,385.545535,500.08364,-114.538105,340.677846,486.947766,-146.26992
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2054.693914,2145.142354,-90.44844,345.559927,361.655436,-16.095509,345.559927,361.655436,-16.095509,385.545535,402.312466,-16.766931,340.677846,356.536523,-15.858677
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2054.693914,2146.515831,-91.821917,345.559927,359.080392,-13.520465,345.559927,359.080392,-13.520465,385.545535,403.197917,-17.652382,340.677846,353.95966,-13.281814
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2479.523662,6136.638301,-3657.114639,61.24843,152.619377,-91.370947,61.24843,152.619377,-91.370947,109.180237,120.001306,-10.821069,58.095906,149.486476,-91.39057
safe,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2479.523662,2824.580613,-345.056951,61.24843,70.006714,-8.758284,61.24843,70.006714,-8.758284,109.180237,89.850264,19.329973,58.095906,67.912251,-9.816345
safe,RI2,Greedy-HazardAware,1.0,1.0,0.0,2479.523662,2516.093089,-36.569427,61.24843,62.147202,-0.898772,61.24843,62.147202,-0.898772,109.180237,111.501976,-2.321739,58.095906,58.851394,-0.755488
safe,RI3,Greedy-Time-Base,1.0,1.0,0.0,6172.240158,11447.653788,-5275.41363,153.270967,284.921935,-131.650968,153.270967,284.921935,-131.650968,155.183835,194.935016,-39.751181,149.639915,280.310478,-130.670563
safe,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,6172.240158,6461.063945,-288.823787,153.270967,160.551695,-7.280728,153.270967,160.551695,-7.280728,155.183835,147.277309,7.906526,149.639915,156.763299,-7.123384
safe,RI3,Greedy-HazardAware,1.0,1.0,0.0,6172.240158,6239.598968,-67.35881,153.270967,154.936663,-1.665696,153.270967,154.936663,-1.665696,155.183835,157.873759,-2.689924,149.639915,151.242449,-1.602534
safe,RI4,Greedy-Time-Base,1.0,1.0,0.0,11694.521854,17299.916707,-5605.394853,290.642244,430.331824,-139.68958,290.642244,430.331824,-139.68958,265.031716,336.823211,-71.791495,286.160227,425.034532,-138.874305
safe,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,11694.521854,12323.449145,-628.927291,290.642244,306.341889,-15.699645,290.642244,306.341889,-15.699645,265.031716,269.146887,-4.115171,286.160227,301.753542,-15.593315
safe,RI4,Greedy-HazardAware,1.0,1.0,0.0,11694.521854,12173.129567,-478.607713,290.642244,302.517498,-11.875254,290.642244,302.517498,-11.875254,265.031716,278.790254,-13.758538,286.160227,297.79613,-11.635903
safe,RI5,Greedy-Time-Base,1.0,1.0,0.0,13823.137065,19837.959337,-6014.822272,343.07063,492.748825,-149.678195,343.07063,492.748825,-149.678195,389.489268,500.08364,-110.594372,338.158582,486.947766,-148.789184
safe,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,13823.137065,14569.784007,-746.646942,343.07063,361.655436,-18.584806,343.07063,361.655436,-18.584806,389.489268,402.312466,-12.823198,338.158582,356.536523,-18.377941
safe,RI5,Greedy-HazardAware,1.0,1.0,0.0,13823.137065,14393.730454,-570.593389,343.07063,357.212795,-14.142165,343.07063,357.212795,-14.142165,389.489268,408.361862,-18.872594,338.158582,352.067749,-13.909167
