profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,651.569066,1019.864009,-368.294943,62.758076,110.007362,-47.249286,62.758076,110.007362,-47.249286,103.720207,97.203585,6.516622,59.784437,107.403065,-47.618628
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,651.569066,710.570834,-59.001768,62.758076,73.178304,-10.420228,62.758076,73.178304,-10.420228,103.720207,86.824027,16.89618,59.784437,71.133761,-11.349324
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,651.569066,687.056448,-35.487382,62.758076,65.231944,-2.473868,62.758076,65.231944,-2.473868,103.720207,114.581825,-10.861618,59.784437,61.84051,-2.056073
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1619.256342,2058.885805,-439.629463,174.170268,228.58385,-54.413582,174.170268,228.58385,-54.413582,157.434378,160.853652,-3.419274,170.253407,224.837485,-54.584078
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1619.256342,1747.004765,-127.748423,174.170268,190.162766,-15.992498,174.170268,190.162766,-15.992498,157.434378,157.424503,0.009875,170.253407,186.311408,-16.058001
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1619.256342,1716.538689,-97.282347,174.170268,183.304066,-9.133798,174.170268,183.304066,-9.133798,157.434378,174.227438,-16.79306,170.253407,178.789115,-8.535708
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2980.95937,3590.76009,-609.80072,322.081701,394.768918,-72.687217,322.081701,394.768918,-72.687217,282.824663,302.979819,-20.155156,317.286773,389.9264,-72.639627
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2980.95937,3182.842617,-201.883247,322.081701,345.581872,-23.500171,322.081701,345.581872,-23.500171,282.824663,292.609895,-9.785232,317.286773,340.696668,-23.409895
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2980.95937,3279.568743,-298.609373,322.081701,352.080674,-29.998973,322.081701,352.080674,-29.998973,282.824663,323.699858,-40.875195,317.286773,346.608536,-29.321763
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3581.250598,4252.829339,-671.578741,375.112775,451.928906,-76.816131,375.112775,451.928906,-76.816131,406.561349,446.875192,-40.313843,370.067956,446.614123,-76.546167
