profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,64.225446,67.501492,-3.276046,0.0,0.0,0.0,0.0,0.0,0.0,44.183256,46.402692,-2.219436,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,64.225446,67.501492,-3.276046,0.0,0.0,0.0,0.0,0.0,0.0,44.183256,46.402692,-2.219436,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,64.225446,67.448434,-3.222988,0.0,0.0,0.0,0.0,0.0,0.0,44.183256,46.392043,-2.208787,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,546.749086,1139.278657,-592.529571,52.319214,123.804962,-71.485748,52.319214,123.804962,-71.485748,88.913783,103.55517,-14.641387,49.752448,121.120763,-71.368315
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,546.749086,588.448059,-41.698973,52.319214,59.042325,-6.723111,52.319214,59.042325,-6.723111,88.913783,80.517193,8.39659,49.752448,57.1294,-7.376952
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,546.749086,559.223653,-12.474567,52.319214,53.277492,-0.958278,52.319214,53.277492,-0.958278,88.913783,92.235739,-3.321956,49.752448,50.603942,-0.851494
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1362.153376,2348.307495,-986.154119,145.178594,261.229269,-116.050675,145.178594,261.229269,-116.050675,139.784191,180.590332,-40.806141,141.596967,256.9732,-115.376233
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1362.153376,1431.544176,-69.3908,145.178594,153.863627,-8.685033,145.178594,153.863627,-8.685033,139.784191,139.797003,-0.012812,141.596967,150.307827,-8.71086
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1362.153376,1388.23149,-26.078114,145.178594,147.687424,-2.50883,145.178594,147.687424,-2.50883,139.784191,143.950906,-4.166715,141.596967,143.936858,-2.339891
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2665.720361,3876.811579,-1211.091218,286.585206,424.868776,-138.28357,286.585206,424.868776,-138.28357,260.853422,334.682618,-73.829196,282.120674,419.603902,-137.483228
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2665.720361,2782.809922,-117.089561,286.585206,300.270223,-13.685017,286.585206,300.270223,-13.685017,260.853422,266.221515,-5.368093,282.120674,295.746646,-13.625972
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2665.720361,2775.681717,-109.961356,286.585206,298.101643,-11.516437,286.585206,298.101643,-11.516437,260.853422,273.31569,-12.462268,282.120674,293.440354,-11.31968
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3153.814364,4352.92494,-1199.110576,327.999882,459.923937,-131.924055,327.999882,459.923937,-131.924055,371.021118,472.161059,-101.139941,323.321045,454.452416,-131.131371
