profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,638.234735,1393.273822,-755.039087,62.092012,152.619377,-90.527365,62.092012,152.619377,-90.527365,98.194292,120.001306,-21.807014,59.298176,149.486476,-90.1883
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,638.234735,689.531026,-51.296291,62.092012,70.006714,-7.914702,62.092012,70.006714,-7.914702,98.194292,89.850264,8.344028,59.298176,67.912251,-8.614075
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,638.234735,652.81352,-14.578785,62.092012,63.182899,-1.090887,62.092012,63.182899,-1.090887,98.194292,102.24401,-4.049718,59.298176,60.207037,-0.908861
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1437.584864,2558.313641,-1120.728777,153.317509,284.921935,-131.604426,153.317509,284.921935,-131.604426,146.982892,194.935016,-47.952124,149.541279,280.310478,-130.769199
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1437.584864,1495.79049,-58.205626,153.317509,160.551695,-7.234186,153.317509,160.551695,-7.234186,146.982892,147.277309,-0.294417,149.541279,156.763299,-7.22202
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1437.584864,1458.34802,-20.763156,153.317509,155.119215,-1.801706,153.317509,155.119215,-1.801706,146.982892,151.379812,-4.39692,149.541279,151.142924,-1.601645
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2699.102506,3923.533174,-1224.430668,290.549517,430.331824,-139.782307,290.549517,430.331824,-139.782307,262.041831,336.823211,-74.78138,286.082201,425.034532,-138.952331
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2699.102506,2835.531775,-136.429269,290.549517,306.341889,-15.792372,290.549517,306.341889,-15.792372,262.041831,269.146887,-7.105056,286.082201,301.753542,-15.671341
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2699.102506,2809.387498,-110.284992,290.549517,301.950503,-11.400986,290.549517,301.950503,-11.400986,262.041831,275.363124,-13.321293,286.082201,297.24758,-11.165379
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3300.052312,4655.320013,-1355.267701,343.240699,492.748825,-149.508126,343.240699,492.748825,-149.508126,388.053331,500.08364,-112.030309,338.346525,486.947766,-148.601241
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3300.052312,3467.696814,-167.644502,343.240699,361.655436,-18.414737,343.240699,361.655436,-18.414737,388.053331,402.312466,-14.259135,338.346525,356.536523,-18.189998
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3300.052312,3437.889329,-137.837017,343.240699,357.063975,-13.823276,343.240699,357.063975,-13.823276,388.053331,407.102329,-19.048998,338.346525,351.924019,-13.577494
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,453.536252,685.567355,-232.031103,67.257689,152.619377,-85.361688,67.257689,152.619377,-85.361688,86.884307,120.001306,-33.116999,65.152371,149.486476,-84.334105
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,453.536252,469.50297,-15.966718,67.257689,70.006714,-2.749025,67.257689,70.006714,-2.749025,86.884307,89.850264,-2.965957,65.152371,67.912251,-2.75988
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,453.536252,469.123685,-15.587433,67.257689,68.729936,-1.472247,67.257689,68.729936,-1.472247,86.884307,90.050681,-3.166374,65.152371,66.591414,-1.439043
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,786.855172,1149.68083,-362.825658,156.268767,284.921935,-128.653168,156.268767,284.921935,-128.653168,142.021961,194.935016,-52.913055,152.601304,280.310478,-127.709174
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,786.855172,814.527923,-27.672751,156.268767,160.551695,-4.282928,156.268767,160.551695,-4.282928,142.021961,147.277309,-5.255348,152.601304,156.763299,-4.161995
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,786.855172,813.219184,-26.364012,156.268767,157.183386,-0.914619,156.268767,157.183386,-0.914619,142.021961,147.733912,-5.711951,152.601304,153.270032,-0.668728
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1435.669296,1923.435008,-487.765712,294.115554,430.331824,-136.21627,294.115554,430.331824,-136.21627,257.405554,336.823211,-79.417657,289.738265,425.034532,-135.296267
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1435.669296,1499.981569,-64.312273,294.115554,306.341889,-12.226335,294.115554,306.341889,-12.226335,257.405554,269.146887,-11.741333,289.738265,301.753542,-12.015277
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1435.669296,1500.379906,-64.71061,294.115554,304.832674,-10.71712,294.115554,304.832674,-10.71712,257.405554,269.571859,-12.166305,289.738265,300.232416,-10.494151
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2053.767069,2708.934779,-655.16771,345.615609,492.748825,-147.133216,345.615609,492.748825,-147.133216,385.324879,500.08364,-114.758761,340.737557,486.947766,-146.210209
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2053.767069,2145.142354,-91.375285,345.615609,361.655436,-16.039827,345.615609,361.655436,-16.039827,385.324879,402.312466,-16.987587,340.737557,356.536523,-15.798966
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2053.767069,2146.515831,-92.748762,345.615609,359.080392,-13.464783,345.615609,359.080392,-13.464783,385.324879,403.197917,-17.873038,340.737557,353.95966,-13.222103
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2479.39545,6136.638301,-3657.242851,61.24515,152.619377,-91.374227,61.24515,152.619377,-91.374227,109.18771,120.001306,-10.813596,58.090701,149.486476,-91.395775
safe,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2479.39545,2824.580613,-345.185163,61.24515,70.006714,-8.761564,61.24515,70.006714,-8.761564,109.18771,89.850264,19.337446,58.090701,67.912251,-9.82155
safe,RI2,Greedy-HazardAware,1.0,1.0,0.0,2479.39545,2516.093089,-36.697639,61.24515,62.147202,-0.902052,61.24515,62.147202,-0.902052,109.18771,111.501976,-2.314266,58.090701,58.851394,-0.760693
safe,RI3,Greedy-Time-Base,1.0,1.0,0.0,6172.350889,11447.653788,-5275.302899,153.274164,284.921935,-131.647771,153.274164,284.921935,-131.647771,155.123158,194.935016,-39.811858,149.638139,280.310478,-130.672339
safe,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,6172.350889,6461.063945,-288.713056,153.274164,160.551695,-7.277531,153.274164,160.551695,-7.277531,155.123158,147.277309,7.845849,149.638139,156.763299,-7.12516
safe,RI3,Greedy-HazardAware,1.0,1.0,0.0,6172.350889,6239.598968,-67.248079,153.274164,154.936663,-1.662499,153.274164,154.936663,-1.662499,155.123158,157.873759,-2.750601,149.638139,151.242449,-1.60431
