profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,651.625871,1019.864009,-368.238138,62.758076,110.007362,-47.249286,62.758076,110.007362,-47.249286,103.757723,97.203585,6.554138,59.784437,107.403065,-47.618628
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,651.625871,710.570834,-58.944963,62.758076,73.178304,-10.420228,62.758076,73.178304,-10.420228,103.757723,86.824027,16.933696,59.784437,71.133761,-11.349324
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,651.625871,687.056448,-35.430577,62.758076,65.231944,-2.473868,62.758076,65.231944,-2.473868,103.757723,114.581825,-10.824102,59.784437,61.84051,-2.056073
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1619.464106,2058.885805,-439.421699,174.179823,228.58385,-54.404027,174.179823,228.58385,-54.404027,157.526986,160.853652,-3.326666,170.248078,224.837485,-54.589407
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1619.464106,1747.004765,-127.540659,174.179823,190.162766,-15.982943,174.179823,190.162766,-15.982943,157.526986,157.424503,0.102483,170.248078,186.311408,-16.06333
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1619.464106,1716.538689,-97.074583,174.179823,183.304066,-9.124243,174.179823,183.304066,-9.124243,157.526986,174.227438,-16.700452,170.248078,178.789115,-8.541037
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2980.95937,3590.76009,-609.80072,322.081701,394.768918,-72.687217,322.081701,394.768918,-72.687217,282.824663,302.979819,-20.155156,317.286773,389.9264,-72.639627
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2980.95937,3182.842617,-201.883247,322.081701,345.581872,-23.500171,322.081701,345.581872,-23.500171,282.824663,292.609895,-9.785232,317.286773,340.696668,-23.409895
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2980.95937,3279.568743,-298.609373,322.081701,352.080674,-29.998973,322.081701,352.080674,-29.998973,282.824663,323.699858,-40.875195,317.286773,346.608536,-29.321763
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3580.839236,4252.829339,-671.990103,375.073221,451.928906,-76.855685,375.073221,451.928906,-76.855685,406.495298,446.875192,-40.379894,370.033745,446.614123,-76.580378
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3580.839236,3836.625446,-255.78621,375.073221,402.836853,-27.763632,375.073221,402.836853,-27.763632,406.495298,430.094639,-23.599341,370.033745,397.413253,-27.379508
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3580.839236,3974.470296,-393.63106,375.073221,413.27339,-38.200169,375.073221,413.27339,-38.200169,406.495298,467.993251,-61.497953,370.033745,407.363417,-37.329672
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,444.23594,541.929697,-97.693757,71.241358,110.007362,-38.766004,71.241358,110.007362,-38.766004,83.89134,97.203585,-13.312245,69.219715,107.403065,-38.18335
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,444.23594,459.247169,-15.011229,71.241358,73.178304,-1.936946,71.241358,73.178304,-1.936946,83.89134,86.824027,-2.932687,69.219715,71.133761,-1.914046
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,444.23594,465.904169,-21.668229,71.241358,72.712072,-1.470714,71.241358,72.712072,-1.470714,83.89134,88.426638,-4.535298,69.219715,70.620637,-1.400922
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,835.241152,942.197916,-106.956764,180.633728,228.58385,-47.950122,180.633728,228.58385,-47.950122,147.484666,160.853652,-13.368986,177.003297,224.837485,-47.834188
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,835.241152,888.959152,-53.718,180.633728,190.162766,-9.529038,180.633728,190.162766,-9.529038,147.484666,157.424503,-9.939837,177.003297,186.311408,-9.308111
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,835.241152,898.232363,-62.991211,180.633728,187.412284,-6.778556,180.633728,187.412284,-6.778556,147.484666,160.121707,-12.637041,177.003297,183.329548,-6.326251
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1531.654824,1737.895754,-206.24093,326.576172,394.768918,-68.192746,326.576172,394.768918,-68.192746,271.771583,302.979819,-31.208236,322.009871,389.9264,-67.916529
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1531.654824,1643.123802,-111.468978,326.576172,345.581872,-19.0057,326.576172,345.581872,-19.0057,271.771583,292.609895,-20.838312,322.009871,340.696668,-18.686797
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1531.654824,1677.970098,-146.315274,326.576172,348.112254,-21.536082,326.576172,348.112254,-21.536082,271.771583,299.881823,-28.11024,322.009871,343.06336,-21.053489
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2152.141642,2432.280954,-280.139312,378.193305,451.928906,-73.735601,378.193305,451.928906,-73.735601,400.222662,446.875192,-46.65253,373.220754,446.614123,-73.393369
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2152.141642,2309.292343,-157.150701,378.193305,402.836853,-24.643548,378.193305,402.836853,-24.643548,400.222662,430.094639,-29.871977,373.220754,397.413253,-24.192499
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2152.141642,2321.553373,-169.411731,378.193305,399.94968,-21.756375,378.193305,399.94968,-21.756375,400.222662,433.499814,-33.277152,373.220754,394.476941,-21.256187
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2513.519472,4426.327614,-1912.808142,62.052672,110.007362,-47.95469,62.052672,110.007362,-47.95469,115.663062,97.203585,18.459477,58.713285,107.403065,-48.68978
safe,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2513.519472,2950.653362,-437.13389,62.052672,73.178304,-11.125632,62.052672,73.178304,-11.125632,115.663062,86.824027,28.839035,58.713285,71.133761,-12.420476
safe,RI2,Greedy-HazardAware,1.0,1.0,0.0,2513.519472,2607.604902,-94.08543,62.052672,64.360802,-2.30813,62.052672,64.360802,-2.30813,115.663062,122.241935,-6.578873,58.713285,60.703198,-1.989913
safe,RI3,Greedy-Time-Base,1.0,1.0,0.0,6996.235301,9185.297797,-2189.062496,173.795447,228.58385,-54.788403,173.795447,228.58385,-54.788403,166.980888,160.853652,6.127236,169.982512,224.837485,-54.854973
safe,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,6996.235301,7647.955706,-651.720405,173.795447,190.162766,-16.367319,173.795447,190.162766,-16.367319,166.980888,157.424503,9.556385,169.982512,186.311408,-16.328896
safe,RI3,Greedy-HazardAware,1.0,1.0,0.0,6996.235301,7360.814641,-364.57934,173.795447,182.812951,-9.017504,173.795447,182.812951,-9.017504,166.980888,181.173339,-14.192451,169.982512,178.663786,-8.681274
safe,RI4,Greedy-Time-Base,1.0,1.0,0.0,12931.338159,15868.742638,-2937.404479,321.427045,394.768918,-73.341873,321.427045,394.768918,-73.341873,286.284611,302.979819,-16.695208,316.618771,389.9264,-73.307629
