scenario_id,ri_key,profile,algorithm,success,failure_reason,delivered,objective,travel_time_min,distance_m,flood_exposure,landslide_exposure,blockage_exposure,risk_exposure,common_risk_exposure,hops,replan_count,visit_order,wall_time_ms
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-Time-Base,1,,5,654.627273,124.301236,35459.172806,0.0,7.623947,98.448553,102.260527,102.260527,187,0,3804575417|3555331365|3527891382|12681592092|311731070,69.9286
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-Time-SoftPenalty,1,,5,519.365762,104.967034,36898.156927,0.0,4.96761,49.991193,52.474998,52.474998,202,0,3804575417|3555331365|3527891382|12681592092|311731070,55.6565
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-HazardAware,1,,5,519.365762,104.967034,36898.156927,0.0,4.96761,49.991193,52.474998,52.474998,202,0,3804575417|3555331365|3527891382|12681592092|311731070,48.3028
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Macro-DP-Oracle,1,,5,493.821049,98.353719,32673.225095,0.0,6.329133,53.48431,56.648877,56.648877,159,0,311731070|3804575417|3555331365|3527891382|12681592092,0.0426
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Macro-DQN,1,,5,519.365762,104.967034,36898.156927,0.0,4.96761,49.991193,52.474998,52.474998,202,0,3804575417|3555331365|3527891382|12681592092|311731070,55.841
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-Time-Base,1,,5,479.068655,88.019701,21840.334076,0.0,6.38978,84.808182,88.003072,88.003072,125,0,3803201428|3802786578|3555337083|3801835647|10758421107,47.4016
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-Time-SoftPenalty,1,,5,438.950158,86.896902,28531.838903,0.0,4.885518,50.204391,52.64715,52.64715,146,0,3801835647|3803201428|3802786578|3555337083|10758421107,48.6765
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-HazardAware,1,,5,438.950158,86.896902,28531.838903,0.0,4.885518,50.204391,52.64715,52.64715,146,0,3801835647|3803201428|3802786578|3555337083|10758421107,53.6501
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Macro-DP-Oracle,1,,5,385.873306,74.989605,23139.577815,0.0,4.640243,50.204391,52.524513,52.524513,124,0,3555337083|3802786578|3803201428|3801835647|10758421107,0.0446
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Macro-DQN,1,,5,385.873306,74.989605,23139.577815,0.0,4.640243,50.204391,52.524513,52.524513,124,0,3803201428|3802786578|3555337083|3801835647|10758421107,48.9122
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-Time-Base,1,,5,307.228201,57.16821,15369.440606,0.0,2.821804,51.554671,52.965573,52.965573,108,0,8724606218|5337365735|6179833522|312973674|7800353005,36.1311
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-Time-SoftPenalty,1,,5,267.300079,51.296721,15632.618397,0.0,1.766271,38.027564,38.9107,38.9107,121,0,8724606218|5337365735|6179833522|312973674|7800353005,41.5706
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-HazardAware,1,,5,267.300079,51.296721,15632.618397,0.0,1.766271,38.027564,38.9107,38.9107,121,0,8724606218|5337365735|6179833522|312973674|7800353005,38.7863
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Macro-DP-Oracle,1,,5,267.300079,51.296721,15632.618397,0.0,1.766271,38.027564,38.9107,38.9107,121,0,8724606218|5337365735|6179833522|312973674|7800353005,0.0487
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Macro-DQN,1,,5,267.300079,51.296721,15632.618397,0.0,1.766271,38.027564,38.9107,38.9107,121,0,8724606218|5337365735|6179833522|312973674|7800353005,41.093
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-Time-Base,1,,5,463.460032,89.468241,26980.087748,0.0,5.911053,62.493728,65.449255,65.449255,178,0,6179833522|3530013011|4305565368|12537647096|3555337100,50.1104
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-Time-SoftPenalty,1,,5,367.192715,75.881778,28538.63258,0.0,2.765584,27.889937,29.272729,29.272729,186,0,6179833522|3530013011|4305565368|12537647096|3555337100,46.2675
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-HazardAware,1,,5,367.192715,75.881778,28538.63258,0.0,2.765584,27.889937,29.272729,29.272729,186,0,6179833522|3530013011|4305565368|12537647096|3555337100,49.408
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Macro-DP-Oracle,1,,5,341.728588,70.136473,25786.392899,0.0,3.086146,27.889937,29.43301,29.43301,168,0,3530013011|6179833522|12537647096|4305565368|3555337100,0.0554
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Macro-DQN,1,,5,341.728588,70.136473,25786.392899,0.0,3.086146,27.889937,29.43301,29.43301,168,0,3530013011|6179833522|12537647096|4305565368|3555337100,54.3084
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-Time-Base,1,,5,450.472613,80.087472,17381.406868,0.0,4.397959,92.487757,94.686737,94.686737,110,0,9109855426|2424437528|3802751556|1142052206|8795733259,31.9401
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-Time-SoftPenalty,1,,5,360.40795,67.874947,19339.303094,0.0,2.20938,57.413375,58.518065,58.518065,129,0,9109855426|2424437528|3802751556|1142052206|8795733259,33.6432
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-HazardAware,1,,5,360.40795,67.874947,19339.303094,0.0,2.20938,57.413375,58.518065,58.518065,129,0,9109855426|2424437528|3802751556|1142052206|8795733259,36.8454
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Macro-DP-Oracle,1,,5,360.40795,67.874947,19339.303094,0.0,2.20938,57.413375,58.518065,58.518065,129,0,9109855426|2424437528|3802751556|1142052206|8795733259,0.0524
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Macro-DQN,1,,5,360.40795,67.874947,19339.303094,0.0,2.20938,57.413375,58.518065,58.518065,129,0,9109855426|2424437528|3802751556|1142052206|8795733259,43.5398
eval_risk_time_tradeoff_RI2_00005,RI2,fast,Greedy-Time-Base,1,,5,456.11945,79.728164,16089.9293,0.0,3.507082,99.961311,101.714852,101.714852,131,0,7907466967|3802957230|7994638292|6033822977|3804477923,44.5248
eval_risk_time_tradeoff_RI2_00005,RI2,fast,Greedy-Time-SoftPenalty,1,,5,362.418774,66.721161,17259.658574,0.0,2.868246,64.254571,65.688694,65.688694,124,0,7907466967|3802957230|6033822977|7994638292|3804477923,50.7856
eval_risk_time_tradeoff_RI2_00005,RI2,fast,Greedy-HazardAware,1,,5,362.418774,66.721161,17259.658574,0.0,2.868246,64.254571,65.688694,65.688694,124,0,7907466967|3802957230|6033822977|7994638292|3804477923,52.1106
eval_risk_time_tradeoff_RI2_00005,RI2,fast,Macro-DP-Oracle,1,,5,362.418774,66.721161,17259.658574,0.0,2.868246,64.254571,65.688694,65.688694,124,0,7907466967|3802957230|6033822977|7994638292|3804477923,0.0513
eval_risk_time_tradeoff_RI2_00005,RI2,fast,Macro-DQN,1,,5,362.418774,66.721161,17259.658574,0.0,2.868246,64.254571,65.688694,65.688694,124,0,7907466967|3802957230|6033822977|7994638292|3804477923,53.2751
eval_risk_time_tradeoff_RI2_00006,RI2,fast,Greedy-Time-Base,1,,5,466.37342,90.713214,28543.010105,0.0,4.525013,60.536483,62.79899,62.79899,183,0,3530273864|1251436535|7907736537|3527889150|9113256040,62.2836
eval_risk_time_tradeoff_RI2_00006,RI2,fast,Greedy-Time-SoftPenalty,1,,5,466.37342,90.713214,28543.010105,0.0,4.525013,60.536483,62.79899,62.79899,183,0,3530273864|1251436535|7907736537|3527889150|9113256040,57.0348
eval_risk_time_tradeoff_RI2_00006,RI2,fast,Greedy-HazardAware,1,,5,466.37342,90.713214,28543.010105,0.0,4.525013,60.536483,62.79899,62.79899,183,0,3530273864|1251436535|7907736537|3527889150|9113256040,56.652
eval_risk_time_tradeoff_RI2_00006,RI2,fast,Macro-DP-Oracle,1,,5,466.37342,90.713214,28543.010105,0.0,4.525013,60.536483,62.79899,62.79899,183,0,3530273864|1251436535|7907736537|3527889150|9113256040,0.0568
eval_risk_time_tradeoff_RI2_00006,RI2,fast,Macro-DQN,1,,5,466.37342,90.713214,28543.010105,0.0,4.525013,60.536483,62.79899,62.79899,183,0,3530273864|1251436535|7907736537|3527889150|9113256040,67.1193
eval_risk_time_tradeoff_RI2_00007,RI2,fast,Greedy-Time-Base,1,,5,502.224566,87.597839,17596.513127,0.0,3.861349,110.826621,112.757295,112.757295,152,0,3804595985|2194140744|1141864320|3530273547|7959555539,53.3043
eval_risk_time_tradeoff_RI2_00007,RI2,fast,Greedy-Time-SoftPenalty,1,,5,477.092294,86.103962,20659.999925,0.0,3.188303,92.496853,94.091005,94.091005,167,0,3804595985|1141864320|3530273547|7959555539|2194140744,56.1495
eval_risk_time_tradeoff_RI2_00007,RI2,fast,Greedy-HazardAware,1,,5,470.562637,86.570543,22578.301518,0.0,2.811899,84.139035,85.544985,85.544985,162,0,3804595985|1141864320|3530273547|7959555539|2194140744,58.3843
eval_risk_time_tradeoff_RI2_00007,RI2,fast,Macro-DP-Oracle,1,,5,459.612779,84.070924,21319.077136,0.0,3.132461,84.139035,85.705266,85.705266,158,0,3804595985|7959555539|3530273547|1141864320|2194140744,0.0548
eval_risk_time_tradeoff_RI2_00007,RI2,fast,Macro-DQN,1,,5,459.612779,84.070924,21319.077136,0.0,3.132461,84.139035,85.705266,85.705266,158,0,3804595985|7959555539|3530273547|1141864320|2194140744,58.9329
eval_risk_time_tradeoff_RI2_00008,RI2,fast,Greedy-Time-Base,1,,5,605.039414,106.33906,21684.759047,0.0,6.447582,129.558526,132.782317,132.782317,131,0,7895850724|6420190253|1409193876|7904808500|7927311476,44.61
eval_risk_time_tradeoff_RI2_00008,RI2,fast,Greedy-Time-SoftPenalty,1,,5,560.165913,104.983413,28585.790074,0.0,6.252168,90.506529,93.632613,93.632613,159,0,7895850724|1409193876|6420190253|7927311476|7904808500,54.4881
eval_risk_time_tradeoff_RI2_00008,RI2,fast,Greedy-HazardAware,1,,5,560.165913,104.983413,28585.790074,0.0,6.252168,90.506529,93.632613,93.632613,159,0,7895850724|1409193876|6420190253|7927311476|7904808500,59.6352
eval_risk_time_tradeoff_RI2_00008,RI2,fast,Macro-DP-Oracle,1,,5,517.13772,94.47928,23454.200808,0.0,4.490754,95.309018,97.554396,97.554396,116,0,7895850724|7904808500|1409193876|6420190253|7927311476,0.052
eval_risk_time_tradeoff_RI2_00008,RI2,fast,Macro-DQN,1,,5,517.13772,94.47928,23454.200808,0.0,4.490754,95.309018,97.554396,97.554396,116,0,7895850724|7904808500|1409193876|6420190253|7927311476,56.0685
eval_risk_time_tradeoff_RI2_00009,RI2,fast,Greedy-Time-Base,1,,5,379.971715,70.569423,18907.82188,0.0,3.032654,64.552392,66.068719,66.068719,137,0,3527889091|3527889531|8725221758|3530273887|7904179726,42.606
eval_risk_time_tradeoff_RI2_00009,RI2,fast,Greedy-Time-SoftPenalty,1,,5,351.777466,67.486875,20313.775446,0.0,3.087823,49.922335,51.466247,51.466247,143,0,3527889091|3527889531|8725221758|3530273887|7904179726,48.9685
eval_risk_time_tradeoff_RI2_00009,RI2,fast,Greedy-HazardAware,1,,5,351.777466,67.486875,20313.775446,0.0,3.087823,49.922335,51.466247,51.466247,143,0,3527889091|3527889531|8725221758|3530273887|7904179726,48.8526
eval_risk_time_tradeoff_RI2_00009,RI2,fast,Macro-DP-Oracle,1,,5,351.777466,67.486875,20313.775446,0.0,3.087823,49.922335,51.466247,51.466247,143,0,3527889091|3527889531|8725221758|3530273887|7904179726,0.0531
eval_risk_time_tradeoff_RI2_00009,RI2,fast,Macro-DQN,1,,5,351.777466,67.486875,20313.775446,0.0,3.087823,49.922335,51.466247,51.466247,143,0,3527889091|3527889531|8725221758|3530273887|7904179726,53.7226
eval_risk_time_tradeoff_RI2_00010,RI2,fast,Greedy-Time-Base,1,,5,402.14372,69.875676,13785.525646,0.0,2.696557,90.164865,91.513143,91.513143,117,0,1141864376|3801844771|1118275095|1409266402|3527891624,42.4671
eval_risk_time_tradeoff_RI2_00010,RI2,fast,Greedy-Time-SoftPenalty,1,,5,317.990388,59.464436,16610.063638,0.0,1.430961,52.922911,53.638391,53.638391,100,0,3801844771|1141864376|1409266402|3527891624|1118275095,53.3453
eval_risk_time_tradeoff_RI2_00010,RI2,fast,Greedy-HazardAware,1,,5,312.701555,63.091466,22001.382864,0.0,3.389162,30.481837,32.176418,32.176418,111,0,3801844771|1141864376|1409266402|3527891624|1118275095,55.2121
eval_risk_time_tradeoff_RI2_00010,RI2,fast,Macro-DP-Oracle,1,,5,312.701555,63.091466,22001.382864,0.0,3.389162,30.481837,32.176418,32.176418,111,0,1141864376|3801844771|1409266402|3527891624|1118275095,0.051
