profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,64.581232,67.501492,-2.92026,0.0,0.0,0.0,0.0,0.0,0.0,44.427523,46.402692,-1.975169,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,64.581232,67.501492,-2.92026,0.0,0.0,0.0,0.0,0.0,0.0,44.427523,46.402692,-1.975169,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,64.581232,67.448434,-2.867202,0.0,0.0,0.0,0.0,0.0,0.0,44.427523,46.392043,-1.96452,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,547.448145,1139.278657,-591.830512,52.394185,123.804962,-71.410777,52.394185,123.804962,-71.410777,88.983085,103.55517,-14.572085,49.823765,121.120763,-71.296998
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,547.448145,588.448059,-40.999914,52.394185,59.042325,-6.64814,52.394185,59.042325,-6.64814,88.983085,80.517193,8.465892,49.823765,57.1294,-7.305635
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,547.448145,559.223653,-11.775508,52.394185,53.277492,-0.883307,52.394185,53.277492,-0.883307,88.983085,92.235739,-3.252654,49.823765,50.603942,-0.780177
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1361.920101,2348.307495,-986.387394,145.138524,261.229269,-116.090745,145.138524,261.229269,-116.090745,139.840659,180.590332,-40.749673,141.543461,256.9732,-115.429739
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1361.920101,1431.544176,-69.624075,145.138524,153.863627,-8.725103,145.138524,153.863627,-8.725103,139.840659,139.797003,0.043656,141.543461,150.307827,-8.764366
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1361.920101,1388.23149,-26.311389,145.138524,147.687424,-2.5489,145.138524,147.687424,-2.5489,139.840659,143.950906,-4.110247,141.543461,143.936858,-2.393397
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2672.308867,3876.811579,-1204.502712,287.282869,424.868776,-137.585907,287.282869,424.868776,-137.585907,261.554993,334.682618,-73.127625,282.803055,419.603902,-136.800847
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2672.308867,2782.809922,-110.501055,287.282869,300.270223,-12.987354,287.282869,300.270223,-12.987354,261.554993,266.221515,-4.666522,282.803055,295.746646,-12.943591
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2672.308867,2775.681717,-103.37285,287.282869,298.101643,-10.818774,287.282869,298.101643,-10.818774,261.554993,273.31569,-11.760697,282.803055,293.440354,-10.637299
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3162.998236,4352.92494,-1189.926704,328.969676,459.923937,-130.954261,328.969676,459.923937,-130.954261,372.019874,472.161059,-100.141185,324.269172,454.452416,-130.183244
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3162.998236,3294.919803,-131.921567,328.969676,343.374099,-14.404423,328.969676,343.374099,-14.404423,372.019874,383.723548,-11.703674,324.269172,338.510825,-14.241653
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3162.998236,3287.699143,-124.700907,328.969676,341.51634,-12.546664,328.969676,341.51634,-12.546664,372.019874,389.030606,-17.010732,324.269172,336.604425,-12.335253
fast,RI1,Greedy-Time-Base,1.0,1.0,0.0,196.310113,206.951342,-10.641229,0.0,0.0,0.0,0.0,0.0,0.0,44.02378,46.402692,-2.378912,0.0,0.0,0.0
