profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,639.561891,1393.273822,-753.711931,62.19606,152.619377,-90.423317,62.19606,152.619377,-90.423317,98.544457,120.001306,-21.456849,59.362656,149.486476,-90.12382
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,639.561891,689.531026,-49.969135,62.19606,70.006714,-7.810654,62.19606,70.006714,-7.810654,98.544457,89.850264,8.694193,59.362656,67.912251,-8.549595
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,639.561891,652.81352,-13.251629,62.19606,63.182899,-0.986839,62.19606,63.182899,-0.986839,98.544457,102.24401,-3.699553,59.362656,60.207037,-0.844381
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1436.961926,2558.313641,-1121.351715,153.333897,284.921935,-131.588038,153.333897,284.921935,-131.588038,146.469698,194.935016,-48.465318,149.559564,280.310478,-130.750914
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1436.961926,1495.79049,-58.828564,153.333897,160.551695,-7.217798,153.333897,160.551695,-7.217798,146.469698,147.277309,-0.807611,149.559564,156.763299,-7.203735
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1436.961926,1458.34802,-21.386094,153.333897,155.119215,-1.785318,153.333897,155.119215,-1.785318,146.469698,151.379812,-4.910114,149.559564,151.142924,-1.58336
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2702.288644,3923.533174,-1221.24453,290.891455,430.331824,-139.440369,290.891455,430.331824,-139.440369,262.354388,336.823211,-74.468823,286.414861,425.034532,-138.619671
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2702.288644,2835.531775,-133.243131,290.891455,306.341889,-15.450434,290.891455,306.341889,-15.450434,262.354388,269.146887,-6.792499,286.414861,301.753542,-15.338681
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2702.288644,2809.387498,-107.098854,290.891455,301.950503,-11.059048,290.891455,301.950503,-11.059048,262.354388,275.363124,-13.008736,286.414861,297.24758,-10.832719
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3304.705411,4655.320013,-1350.614602,343.599262,492.748825,-149.149563,343.599262,492.748825,-149.149563,389.298203,500.08364,-110.785437,338.687647,486.947766,-148.260119
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3304.705411,3467.696814,-162.991403,343.599262,361.655436,-18.056174,343.599262,361.655436,-18.056174,389.298203,402.312466,-13.014263,338.687647,356.536523,-17.848876
