profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,654.859587,1019.864009,-365.004422,63.476598,110.007362,-46.530764,63.476598,110.007362,-46.530764,102.02205,97.203585,4.818465,60.561996,107.403065,-46.841069
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,654.859587,710.570834,-55.711247,63.476598,73.178304,-9.701706,63.476598,73.178304,-9.701706,102.02205,86.824027,15.198023,60.561996,71.133761,-10.571765
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,654.859587,687.056448,-32.196861,63.476598,65.231944,-1.755346,63.476598,65.231944,-1.755346,102.02205,114.581825,-12.559775,60.561996,61.84051,-1.278514
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1618.98058,2058.885805,-439.905225,174.146117,228.58385,-54.437733,174.146117,228.58385,-54.437733,157.386711,160.853652,-3.466941,170.204844,224.837485,-54.632641
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1618.98058,1747.004765,-128.024185,174.146117,190.162766,-16.016649,174.146117,190.162766,-16.016649,157.386711,157.424503,-0.037792,170.204844,186.311408,-16.106564
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1618.98058,1716.538689,-97.558109,174.146117,183.304066,-9.157949,174.146117,183.304066,-9.157949,157.386711,174.227438,-16.840727,170.204844,178.789115,-8.584271
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2991.477375,3590.76009,-599.282715,323.305878,394.768918,-71.46304,323.305878,394.768918,-71.46304,283.333954,302.979819,-19.645865,318.508796,389.9264,-71.417604
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2991.477375,3182.842617,-191.365242,323.305878,345.581872,-22.275994,323.305878,345.581872,-22.275994,283.333954,292.609895,-9.275941,318.508796,340.696668,-22.187872
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2991.477375,3279.568743,-288.091368,323.305878,352.080674,-28.774796,323.305878,352.080674,-28.774796,283.333954,323.699858,-40.365904,318.508796,346.608536,-28.09974
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3597.397748,4252.829339,-655.431591,376.786641,451.928906,-75.142265,376.786641,451.928906,-75.142265,408.491371,446.875192,-38.383821,371.707512,446.614123,-74.906611
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3597.397748,3836.625446,-239.227698,376.786641,402.836853,-26.050212,376.786641,402.836853,-26.050212,408.491371,430.094639,-21.603268,371.707512,397.413253,-25.705741
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3597.397748,3974.470296,-377.072548,376.786641,413.27339,-36.486749,376.786641,413.27339,-36.486749,408.491371,467.993251,-59.50188,371.707512,407.363417,-35.655905
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,445.318597,541.929697,-96.6111,71.780961,110.007362,-38.226401,71.780961,110.007362,-38.226401,84.013689,97.203585,-13.189896,69.759497,107.403065,-37.643568
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,445.318597,459.247169,-13.928572,71.780961,73.178304,-1.397343,71.780961,73.178304,-1.397343,84.013689,86.824027,-2.810338,69.759497,71.133761,-1.374264
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,445.318597,465.904169,-20.585572,71.780961,72.712072,-0.931111,71.780961,72.712072,-0.931111,84.013689,88.426638,-4.412949,69.759497,70.620637,-0.86114
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,837.314181,942.197916,-104.883735,181.243685,228.58385,-47.340165,181.243685,228.58385,-47.340165,147.813942,160.853652,-13.03971,177.610618,224.837485,-47.226867
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,837.314181,888.959152,-51.644971,181.243685,190.162766,-8.919081,181.243685,190.162766,-8.919081,147.813942,157.424503,-9.610561,177.610618,186.311408,-8.70079
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,837.314181,898.232363,-60.918182,181.243685,187.412284,-6.168599,181.243685,187.412284,-6.168599,147.813942,160.121707,-12.307765,177.610618,183.329548,-5.71893
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1533.152659,1737.895754,-204.743095,326.688106,394.768918,-68.080812,326.688106,394.768918,-68.080812,272.083568,302.979819,-30.896251,322.111946,389.9264,-67.814454
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1533.152659,1643.123802,-109.971143,326.688106,345.581872,-18.893766,326.688106,345.581872,-18.893766,272.083568,292.609895,-20.526327,322.111946,340.696668,-18.584722
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1533.152659,1677.970098,-144.817439,326.688106,348.112254,-21.424148,326.688106,348.112254,-21.424148,272.083568,299.881823,-27.798255,322.111946,343.06336,-20.951414
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2152.041857,2432.280954,-280.239097,377.805569,451.928906,-74.123337,377.805569,451.928906,-74.123337,400.284723,446.875192,-46.590469,372.834875,446.614123,-73.779248
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2152.041857,2309.292343,-157.250486,377.805569,402.836853,-25.031284,377.805569,402.836853,-25.031284,400.284723,430.094639,-29.809916,372.834875,397.413253,-24.578378
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2152.041857,2321.553373,-169.511516,377.805569,399.94968,-22.144111,377.805569,399.94968,-22.144111,400.284723,433.499814,-33.215091,372.834875,394.476941,-21.642066
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2510.908934,4426.327614,-1915.41868,61.994898,110.007362,-48.012464,61.994898,110.007362,-48.012464,114.67611,97.203585,17.472525,58.693342,107.403065,-48.709723
safe,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2510.908934,2950.653362,-439.744428,61.994898,73.178304,-11.183406,61.994898,73.178304,-11.183406,114.67611,86.824027,27.852083,58.693342,71.133761,-12.440419
safe,RI2,Greedy-HazardAware,1.0,1.0,0.0,2510.908934,2607.604902,-96.695968,61.994898,64.360802,-2.365904,61.994898,64.360802,-2.365904,114.67611,122.241935,-7.565825,58.693342,60.703198,-2.009856
safe,RI3,Greedy-Time-Base,1.0,1.0,0.0,6997.594267,9185.297797,-2187.70353,173.829175,228.58385,-54.754675,173.829175,228.58385,-54.754675,166.988294,160.853652,6.134642,170.02918,224.837485,-54.808305
safe,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,6997.594267,7647.955706,-650.361439,173.829175,190.162766,-16.333591,173.829175,190.162766,-16.333591,166.988294,157.424503,9.563791,170.02918,186.311408,-16.282228
safe,RI3,Greedy-HazardAware,1.0,1.0,0.0,6997.594267,7360.814641,-363.220374,173.829175,182.812951,-8.983776,173.829175,182.812951,-8.983776,166.988294,181.173339,-14.185045,170.02918,178.663786,-8.634606
safe,RI4,Greedy-Time-Base,1.0,1.0,0.0,12914.175658,15868.742638,-2954.56698,320.998763,394.768918,-73.770155,320.998763,394.768918,-73.770155,286.20788,302.979819,-16.771939,316.166899,389.9264,-73.759501
safe,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,12914.175658,13898.977163,-984.801505,320.998763,345.581872,-24.583109,320.998763,345.581872,-24.583109,286.20788,292.609895,-6.402015,316.166899,340.696668,-24.529769
safe,RI4,Greedy-HazardAware,1.0,1.0,0.0,12914.175658,14211.590296,-1297.414638,320.998763,353.15929,-32.160527,320.998763,353.15929,-32.160527,286.20788,327.874504,-41.666624,316.166899,347.660247,-31.493348
safe,RI5,Greedy-Time-Base,1.0,1.0,0.0,15206.982954,18191.509119,-2984.526165,377.513649,451.928906,-74.415257,377.513649,451.928906,-74.415257,413.972146,446.875192,-32.903046,372.359421,446.614123,-74.254702
safe,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,15206.982954,16224.000321,-1017.017367,377.513649,402.836853,-25.323204,377.513649,402.836853,-25.323204,413.972146,430.094639,-16.122493,372.359421,397.413253,-25.053832
safe,RI5,Greedy-HazardAware,1.0,1.0,0.0,15206.982954,16674.031082,-1467.048128,377.513649,413.834058,-36.320409,377.513649,413.834058,-36.320409,413.972146,468.545879,-54.573733,372.359421,407.926564,-35.567143
