profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,64.115061,67.501492,-3.386431,0.0,0.0,0.0,0.0,0.0,0.0,44.104963,46.402692,-2.297729,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,64.115061,67.501492,-3.386431,0.0,0.0,0.0,0.0,0.0,0.0,44.104963,46.402692,-2.297729,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,64.115061,67.448434,-3.333373,0.0,0.0,0.0,0.0,0.0,0.0,44.104963,46.392043,-2.28708,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,546.372681,1139.278657,-592.905976,52.282749,123.804962,-71.522213,52.282749,123.804962,-71.522213,88.858483,103.55517,-14.696687,49.711811,121.120763,-71.408952
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,546.372681,588.448059,-42.075378,52.282749,59.042325,-6.759576,52.282749,59.042325,-6.759576,88.858483,80.517193,8.34129,49.711811,57.1294,-7.417589
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,546.372681,559.223653,-12.850972,52.282749,53.277492,-0.994743,52.282749,53.277492,-0.994743,88.858483,92.235739,-3.377256,49.711811,50.603942,-0.892131
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1360.933292,2348.307495,-987.374203,145.082138,261.229269,-116.147131,145.082138,261.229269,-116.147131,139.472919,180.590332,-41.117413,141.503357,256.9732,-115.469843
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1360.933292,1431.544176,-70.610884,145.082138,153.863627,-8.781489,145.082138,153.863627,-8.781489,139.472919,139.797003,-0.324084,141.503357,150.307827,-8.80447
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1360.933292,1388.23149,-27.298198,145.082138,147.687424,-2.605286,145.082138,147.687424,-2.605286,139.472919,143.950906,-4.477987,141.503357,143.936858,-2.433501
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2671.841106,3876.811579,-1204.970473,287.250778,424.868776,-137.617998,287.250778,424.868776,-137.617998,261.410191,334.682618,-73.272427,282.770005,419.603902,-136.833897
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2671.841106,2782.809922,-110.968816,287.250778,300.270223,-13.019445,287.250778,300.270223,-13.019445,261.410191,266.221515,-4.811324,282.770005,295.746646,-12.976641
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2671.841106,2775.681717,-103.840611,287.250778,298.101643,-10.850865,287.250778,298.101643,-10.850865,261.410191,273.31569,-11.905499,282.770005,293.440354,-10.670349
