scenario_id,ri_key,profile,algorithm,success,failure_reason,delivered,objective,travel_time_min,distance_m,flood_exposure,landslide_exposure,blockage_exposure,risk_exposure,common_risk_exposure,hops,replan_count,visit_order,wall_time_ms
eval_main_RI1_00000,RI1,fast,Greedy-Time-Base,1,,5,231.306011,51.892067,25946.033734,0.0,0.0,0.0,0.0,0.0,149,0,3801764951|7904508941|5223364687|7891921889|3808609581,94.5443
eval_main_RI1_00000,RI1,fast,Greedy-Time-SoftPenalty,1,,5,231.306011,51.892067,25946.033734,0.0,0.0,0.0,0.0,0.0,149,0,3801764951|7904508941|5223364687|7891921889|3808609581,43.8867
eval_main_RI1_00000,RI1,fast,Greedy-HazardAware,1,,5,231.306011,51.892067,25946.033734,0.0,0.0,0.0,0.0,0.0,149,0,3801764951|7904508941|5223364687|7891921889|3808609581,36.8833
eval_main_RI1_00000,RI1,fast,Macro-DP-Oracle,1,,5,204.902681,46.025075,23012.537649,0.0,0.0,0.0,0.0,0.0,107,0,3808609581|3801764951|7904508941|5223364687|7891921889,0.0471
eval_main_RI1_00000,RI1,fast,Macro-DQN,1,,5,204.902681,46.025075,23012.537649,0.0,0.0,0.0,0.0,0.0,107,0,3808609581|3801764951|7904508941|5223364687|7891921889,42.4459
eval_main_RI1_00001,RI1,fast,Greedy-Time-Base,1,,5,158.000469,35.393991,17696.995725,0.0,0.0,0.0,0.0,0.0,125,0,6420190265|7958998574|1118275113|9109849943|5519918982,30.271
eval_main_RI1_00001,RI1,fast,Greedy-Time-SoftPenalty,1,,5,158.000469,35.393991,17696.995725,0.0,0.0,0.0,0.0,0.0,125,0,6420190265|7958998574|1118275113|9109849943|5519918982,31.679
eval_main_RI1_00001,RI1,fast,Greedy-HazardAware,1,,5,158.000469,35.393991,17696.995725,0.0,0.0,0.0,0.0,0.0,125,0,6420190265|7958998574|1118275113|9109849943|5519918982,34.7842
eval_main_RI1_00001,RI1,fast,Macro-DP-Oracle,1,,5,151.771663,33.971731,16985.865737,0.0,0.0,0.0,0.0,0.0,132,0,5519918982|6420190265|7958998574|1118275113|9109849943,0.05
eval_main_RI1_00001,RI1,fast,Macro-DQN,1,,5,151.771663,33.971731,16985.865737,0.0,0.0,0.0,0.0,0.0,132,0,5519918982|6420190265|7958998574|1118275113|9109849943,38.7428
eval_main_RI1_00002,RI1,fast,Greedy-Time-Base,1,,5,107.222462,24.04356,12021.78013,0.0,0.0,0.0,0.0,0.0,74,0,1118275352|3801764944|3802751556|3527891385|9112351420,29.012
eval_main_RI1_00002,RI1,fast,Greedy-Time-SoftPenalty,1,,5,107.222462,24.04356,12021.78013,0.0,0.0,0.0,0.0,0.0,74,0,1118275352|3801764944|3802751556|3527891385|9112351420,30.3196
eval_main_RI1_00002,RI1,fast,Greedy-HazardAware,1,,5,107.222462,24.04356,12021.78013,0.0,0.0,0.0,0.0,0.0,74,0,1118275352|3801764944|3802751556|3527891385|9112351420,28.9151
eval_main_RI1_00002,RI1,fast,Macro-DP-Oracle,1,,5,107.222462,24.04356,12021.78013,0.0,0.0,0.0,0.0,0.0,74,0,1118275352|3801764944|3802751556|3527891385|9112351420,0.0292
eval_main_RI1_00002,RI1,fast,Macro-DQN,1,,5,107.222462,24.04356,12021.78013,0.0,0.0,0.0,0.0,0.0,74,0,1118275352|3801764944|3802751556|3527891385|9112351420,27.0301
eval_main_RI1_00003,RI1,fast,Greedy-Time-Base,1,,5,198.333704,44.507942,22253.970832,0.0,0.0,0.0,0.0,0.0,122,0,311731301|4114239815|4061339771|7904837203|9110563705,29.9532
eval_main_RI1_00003,RI1,fast,Greedy-Time-SoftPenalty,1,,5,198.333704,44.507942,22253.970832,0.0,0.0,0.0,0.0,0.0,122,0,311731301|4114239815|4061339771|7904837203|9110563705,32.9508
eval_main_RI1_00003,RI1,fast,Greedy-HazardAware,1,,5,198.333704,44.507942,22253.970832,0.0,0.0,0.0,0.0,0.0,122,0,311731301|4114239815|4061339771|7904837203|9110563705,33.897
eval_main_RI1_00003,RI1,fast,Macro-DP-Oracle,1,,5,198.333704,44.507942,22253.970832,0.0,0.0,0.0,0.0,0.0,122,0,311731301|4114239815|4061339771|7904837203|9110563705,0.0403
eval_main_RI1_00003,RI1,fast,Macro-DQN,1,,5,198.333704,44.507942,22253.970832,0.0,0.0,0.0,0.0,0.0,122,0,311731301|4114239815|4061339771|7904837203|9110563705,33.4945
eval_main_RI1_00004,RI1,fast,Greedy-Time-Base,1,,5,235.335786,52.77263,26386.314972,0.0,0.0,0.0,0.0,0.0,162,0,7958998560|3530013225|8107753807|3527889347|311731242,31.5462
eval_main_RI1_00004,RI1,fast,Greedy-Time-SoftPenalty,1,,5,235.335786,52.77263,26386.314972,0.0,0.0,0.0,0.0,0.0,162,0,7958998560|3530013225|8107753807|3527889347|311731242,28.9663
eval_main_RI1_00004,RI1,fast,Greedy-HazardAware,1,,5,235.335786,52.77263,26386.314972,0.0,0.0,0.0,0.0,0.0,162,0,7958998560|3530013225|8107753807|3527889347|311731242,30.4423
eval_main_RI1_00004,RI1,fast,Macro-DP-Oracle,1,,5,213.233099,47.858652,23929.326013,0.0,0.0,0.0,0.0,0.0,128,0,8107753807|3527889347|7958998560|3530013225|311731242,0.0472
eval_main_RI1_00004,RI1,fast,Macro-DQN,1,,5,213.233099,47.858652,23929.326013,0.0,0.0,0.0,0.0,0.0,128,0,8107753807|3527889347|7958998560|3530013225|311731242,35.6329
eval_main_RI1_00005,RI1,fast,Greedy-Time-Base,1,,5,266.142886,59.692693,29846.346732,0.0,0.0,0.0,0.0,0.0,178,0,3822514681|7927405968|9110710357|538693000|3804353833,35.3165
eval_main_RI1_00005,RI1,fast,Greedy-Time-SoftPenalty,1,,5,266.142886,59.692693,29846.346732,0.0,0.0,0.0,0.0,0.0,178,0,3822514681|7927405968|9110710357|538693000|3804353833,35.8302
eval_main_RI1_00005,RI1,fast,Greedy-HazardAware,1,,5,266.142886,59.692693,29846.346732,0.0,0.0,0.0,0.0,0.0,178,0,3822514681|7927405968|9110710357|538693000|3804353833,41.9101
