profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,638.617443,1393.273822,-754.656379,62.05619,152.619377,-90.563187,62.05619,152.619377,-90.563187,98.664335,120.001306,-21.336971,59.216531,149.486476,-90.269945
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,638.617443,689.531026,-50.913583,62.05619,70.006714,-7.950524,62.05619,70.006714,-7.950524,98.664335,89.850264,8.814071,59.216531,67.912251,-8.69572
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,638.617443,652.81352,-14.196077,62.05619,63.182899,-1.126709,62.05619,63.182899,-1.126709,98.664335,102.24401,-3.579675,59.216531,60.207037,-0.990506
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1437.505601,2558.313641,-1120.80804,153.404501,284.921935,-131.517434,153.404501,284.921935,-131.517434,146.452238,194.935016,-48.482778,149.650338,280.310478,-130.66014
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1437.505601,1495.79049,-58.284889,153.404501,160.551695,-7.147194,153.404501,160.551695,-7.147194,146.452238,147.277309,-0.825071,149.650338,156.763299,-7.112961
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1437.505601,1458.34802,-20.842419,153.404501,155.119215,-1.714714,153.404501,155.119215,-1.714714,146.452238,151.379812,-4.927574,149.650338,151.142924,-1.492586
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2698.025743,3923.533174,-1225.507431,290.511869,430.331824,-139.819955,290.511869,430.331824,-139.819955,261.503929,336.823211,-75.319282,286.053986,425.034532,-138.980546
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2698.025743,2835.531775,-137.506032,290.511869,306.341889,-15.83002,290.511869,306.341889,-15.83002,261.503929,269.146887,-7.642958,286.053986,301.753542,-15.699556
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2698.025743,2809.387498,-111.361755,290.511869,301.950503,-11.438634,290.511869,301.950503,-11.438634,261.503929,275.363124,-13.859195,286.053986,297.24758,-11.193594
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3306.157963,4655.320013,-1349.16205,343.862663,492.748825,-148.886162,343.862663,492.748825,-148.886162,388.843751,500.08364,-111.239889,338.961129,486.947766,-147.986637
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3306.157963,3467.696814,-161.538851,343.862663,361.655436,-17.792773,343.862663,361.655436,-17.792773,388.843751,402.312466,-13.468715,338.961129,356.536523,-17.575394
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3306.157963,3437.889329,-131.731366,343.862663,357.063975,-13.201312,343.862663,357.063975,-13.201312,388.843751,407.102329,-18.258578,338.961129,351.924019,-12.96289
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,454.659227,685.567355,-230.908128,67.248404,152.619377,-85.370973,67.248404,152.619377,-85.370973,87.138163,120.001306,-32.863143,65.141172,149.486476,-84.345304
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,454.659227,469.50297,-14.843743,67.248404,70.006714,-2.75831,67.248404,70.006714,-2.75831,87.138163,89.850264,-2.712101,65.141172,67.912251,-2.771079
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,454.659227,469.123685,-14.464458,67.248404,68.729936,-1.481532,67.248404,68.729936,-1.481532,87.138163,90.050681,-2.912518,65.141172,66.591414,-1.450242
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,786.722631,1149.68083,-362.958199,155.948981,284.921935,-128.972954,155.948981,284.921935,-128.972954,142.062088,194.935016,-52.872928,152.301391,280.310478,-128.009087
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,786.722631,814.527923,-27.805292,155.948981,160.551695,-4.602714,155.948981,160.551695,-4.602714,142.062088,147.277309,-5.215221,152.301391,156.763299,-4.461908
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,786.722631,813.219184,-26.496553,155.948981,157.183386,-1.234405,155.948981,157.183386,-1.234405,142.062088,147.733912,-5.671824,152.301391,153.270032,-0.968641
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1439.847343,1923.435008,-483.587665,294.390233,430.331824,-135.941591,294.390233,430.331824,-135.941591,258.283293,336.823211,-78.539918,289.991415,425.034532,-135.043117
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1439.847343,1499.981569,-60.134226,294.390233,306.341889,-11.951656,294.390233,306.341889,-11.951656,258.283293,269.146887,-10.863594,289.991415,301.753542,-11.762127
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1439.847343,1500.379906,-60.532563,294.390233,304.832674,-10.442441,294.390233,304.832674,-10.442441,258.283293,269.571859,-11.288566,289.991415,300.232416,-10.241001
fast,RI5,Greedy-Time-Base,1.0,1.0,0.0,2058.821169,2708.934779,-650.11361,346.46084,492.748825,-146.287985,346.46084,492.748825,-146.287985,386.273797,500.08364,-113.809843,341.563641,486.947766,-145.384125
fast,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2058.821169,2145.142354,-86.321185,346.46084,361.655436,-15.194596,346.46084,361.655436,-15.194596,386.273797,402.312466,-16.038669,341.563641,356.536523,-14.972882
fast,RI5,Greedy-HazardAware,1.0,1.0,0.0,2058.821169,2146.515831,-87.694662,346.46084,359.080392,-12.619552,346.46084,359.080392,-12.619552,386.273797,403.197917,-16.92412,341.563641,353.95966,-12.396019
safe,RI2,Greedy-Time-Base,1.0,1.0,0.0,2479.937831,6136.638301,-3656.70047,61.254231,152.619377,-91.365146,61.254231,152.619377,-91.365146,109.832436,120.001306,-10.16887,58.086799,149.486476,-91.399677
