profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,650.461196,1019.864009,-369.402813,62.676293,110.007362,-47.331069,62.676293,110.007362,-47.331069,103.413917,97.203585,6.210332,59.682563,107.403065,-47.720502
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,650.461196,710.570834,-60.109638,62.676293,73.178304,-10.502011,62.676293,73.178304,-10.502011,103.413917,86.824027,16.58989,59.682563,71.133761,-11.451198
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,650.461196,687.056448,-36.595252,62.676293,65.231944,-2.555651,62.676293,65.231944,-2.555651,103.413917,114.581825,-11.167908,59.682563,61.84051,-2.157947
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1616.589904,2058.885805,-442.295901,173.95647,228.58385,-54.62738,173.95647,228.58385,-54.62738,156.785951,160.853652,-4.067701,170.0322,224.837485,-54.805285
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1616.589904,1747.004765,-130.414861,173.95647,190.162766,-16.206296,173.95647,190.162766,-16.206296,156.785951,157.424503,-0.638552,170.0322,186.311408,-16.279208
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1616.589904,1716.538689,-99.948785,173.95647,183.304066,-9.347596,173.95647,183.304066,-9.347596,156.785951,174.227438,-17.441487,170.0322,178.789115,-8.756915
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2981.868502,3590.76009,-608.891588,322.063154,394.768918,-72.705764,322.063154,394.768918,-72.705764,283.555321,302.979819,-19.424498,317.246291,389.9264,-72.680109
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2981.868502,3182.842617,-200.974115,322.063154,345.581872,-23.518718,322.063154,345.581872,-23.518718,283.555321,292.609895,-9.054574,317.246291,340.696668,-23.450377
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2981.868502,3279.568743,-297.700241,322.063154,352.080674,-30.01752,322.063154,352.080674,-30.01752,283.555321,323.699858,-40.144537,317.246291,346.608536,-29.362245
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3577.432678,4252.829339,-675.396661,374.819767,451.928906,-77.109139,374.819767,451.928906,-77.109139,405.542004,446.875192,-41.333188,369.784785,446.614123,-76.829338
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3577.432678,3836.625446,-259.192768,374.819767,402.836853,-28.017086,374.819767,402.836853,-28.017086,405.542004,430.094639,-24.552635,369.784785,397.413253,-27.628468
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3577.432678,3974.470296,-397.037618,374.819767,413.27339,-38.453623,374.819767,413.27339,-38.453623,405.542004,467.993251,-62.451247,369.784785,407.363417,-37.578632
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,444.676453,541.929697,-97.253244,71.244153,110.007362,-38.763209,71.244153,110.007362,-38.763209,83.988618,97.203585,-13.214967,69.214887,107.403065,-38.188178
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,444.676453,459.247169,-14.570716,71.244153,73.178304,-1.934151,71.244153,73.178304,-1.934151,83.988618,86.824027,-2.835409,69.214887,71.133761,-1.918874
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,444.676453,465.904169,-21.227716,71.244153,72.712072,-1.467919,71.244153,72.712072,-1.467919,83.988618,88.426638,-4.43802,69.214887,70.620637,-1.40575
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,836.94712,942.197916,-105.250796,179.631014,228.58385,-48.952836,179.631014,228.58385,-48.952836,148.088289,160.853652,-12.765363,175.988193,224.837485,-48.849292
