profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI1,Greedy-Time-Base,1.0,1.0,0.0,67.748372,70.210468,-2.462096,0.0,0.0,0.0,0.0,0.0,0.0,42.646082,44.166985,-1.520903,0.0,0.0,0.0
balanced,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,67.748372,70.210468,-2.462096,0.0,0.0,0.0,0.0,0.0,0.0,42.646082,44.166985,-1.520903,0.0,0.0,0.0
balanced,RI1,Greedy-HazardAware,1.0,1.0,0.0,67.748372,70.151279,-2.402907,0.0,0.0,0.0,0.0,0.0,0.0,42.646082,44.147601,-1.501519,0.0,0.0,0.0
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,492.623172,1164.832392,-672.20922,45.270281,125.592218,-80.321937,45.270281,125.592218,-80.321937,82.687528,102.037979,-19.350451,43.905348,123.13377,-79.228422
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,492.623172,551.095964,-58.472792,45.270281,53.292605,-8.022324,45.270281,53.292605,-8.022324,82.687528,79.128024,3.559504,43.905348,51.807488,-7.90214
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,492.623172,497.996957,-5.373785,45.270281,45.582205,-0.311924,45.270281,45.582205,-0.311924,82.687528,84.49954,-1.812012,43.905348,44.203978,-0.29863
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1293.77816,2296.036645,-1002.258485,133.976921,252.309335,-118.332414,133.976921,252.309335,-118.332414,141.547506,177.612698,-36.065192,129.931422,247.765254,-117.833832
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1293.77816,1381.499201,-87.721041,133.976921,145.715279,-11.738358,133.976921,145.715279,-11.738358,141.547506,137.695163,3.852343,129.931422,141.776044,-11.844622
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1293.77816,1318.334928,-24.556768,133.976921,136.093402,-2.116481,133.976921,136.093402,-2.116481,141.547506,146.373993,-4.826487,129.931422,131.851698,-1.920276
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2573.9617,3628.90661,-1054.94491,273.626231,393.045504,-119.419273,273.626231,393.045504,-119.419273,246.565719,310.802162,-64.236443,269.321921,387.999789,-118.677868
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2573.9617,2691.36872,-117.40702,273.626231,286.91808,-13.291849,273.626231,286.91808,-13.291849,246.565719,253.685049,-7.11933,269.321921,282.528375,-13.206454
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2573.9617,2672.580356,-98.618656,273.626231,283.598809,-9.972578,273.626231,283.598809,-9.972578,246.565719,258.603226,-12.037507,269.321921,279.095799,-9.773878
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3001.020695,4092.370409,-1091.349714,307.355796,427.571033,-120.215237,307.355796,427.571033,-120.215237,347.743475,431.347766,-83.604291,302.842011,422.388914,-119.546903
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3001.020695,3138.644021,-137.623326,307.355796,322.705486,-15.34969,307.355796,322.705486,-15.34969,347.743475,357.293892,-9.550417,302.842011,318.073859,-15.231848
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3001.020695,3127.985403,-126.964708,307.355796,319.843471,-12.487675,307.355796,319.843471,-12.487675,347.743475,365.078437,-17.334962,302.842011,315.132898,-12.290887
fast,RI1,Greedy-Time-Base,1.0,1.0,0.0,204.632887,215.10229,-10.469403,0.0,0.0,0.0,0.0,0.0,0.0,42.022925,44.166985,-2.14406,0.0,0.0,0.0
fast,RI1,Greedy-Time-SoftPenalty,1.0,1.0,0.0,204.632887,215.10229,-10.469403,0.0,0.0,0.0,0.0,0.0,0.0,42.022925,44.166985,-2.14406,0.0,0.0,0.0
fast,RI1,Greedy-HazardAware,1.0,1.0,0.0,204.632887,215.10192,-10.469033,0.0,0.0,0.0,0.0,0.0,0.0,42.022925,44.167012,-2.144087,0.0,0.0,0.0
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,421.631633,620.427137,-198.795504,52.016994,125.592218,-73.575224,52.016994,125.592218,-73.575224,76.105217,102.037979,-25.932762,50.580377,123.13377,-72.553393
fast,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,421.631633,437.630838,-15.999205,52.016994,53.292605,-1.275611,52.016994,53.292605,-1.275611,76.105217,79.128024,-3.022807,50.580377,51.807488,-1.227111
fast,RI2,Greedy-HazardAware,1.0,1.0,0.0,421.631633,437.686554,-16.054921,52.016994,52.655076,-0.638082,52.016994,52.655076,-0.638082,76.105217,79.269744,-3.164527,50.580377,51.180555,-0.600178
fast,RI3,Greedy-Time-Base,1.0,1.0,0.0,784.909569,1112.537905,-327.628336,142.796287,252.309335,-109.513048,142.796287,252.309335,-109.513048,132.470739,177.612698,-45.141959,139.100136,247.765254,-108.665118
fast,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,784.909569,813.207547,-28.297978,142.796287,145.715279,-2.918992,142.796287,145.715279,-2.918992,132.470739,137.695163,-5.224424,139.100136,141.776044,-2.675908
fast,RI3,Greedy-HazardAware,1.0,1.0,0.0,784.909569,815.026734,-30.117165,142.796287,144.696285,-1.899998,142.796287,144.696285,-1.899998,132.470739,138.277116,-5.806377,139.100136,140.7183,-1.618164
fast,RI4,Greedy-Time-Base,1.0,1.0,0.0,1451.792461,1897.188827,-445.396366,275.856662,393.045504,-117.188842,275.856662,393.045504,-117.188842,242.886901,310.802162,-67.915261,271.645479,387.999789,-116.35431
fast,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1451.792461,1515.1676,-63.375139,275.856662,286.91808,-11.061418,275.856662,286.91808,-11.061418,242.886901,253.685049,-10.798148,271.645479,282.528375,-10.882896
fast,RI4,Greedy-HazardAware,1.0,1.0,0.0,1451.792461,1514.795972,-63.003511,275.856662,284.631814,-8.775152,275.856662,284.631814,-8.775152,242.886901,254.076363,-11.189462,271.645479,280.228199,-8.58272
