scenario_id,ri_key,profile,algorithm,success,failure_reason,delivered,objective,travel_time_min,distance_m,flood_exposure,landslide_exposure,blockage_exposure,risk_exposure,common_risk_exposure,hops,replan_count,visit_order,wall_time_ms
eval_main_RI1_00000,RI1,fast,Greedy-Time-Base,1,,5,245.530207,50.468669,25234.334473,0.0,0.0,0.0,0.0,0.0,154,0,9802896127|6349216804|6115568353|3527889780|3804434992,30.1305
eval_main_RI1_00000,RI1,fast,Greedy-Time-SoftPenalty,1,,5,245.530207,50.468669,25234.334473,0.0,0.0,0.0,0.0,0.0,154,0,9802896127|6349216804|6115568353|3527889780|3804434992,29.4261
eval_main_RI1_00000,RI1,fast,Greedy-HazardAware,1,,5,245.530207,50.468669,25234.334473,0.0,0.0,0.0,0.0,0.0,154,0,9802896127|6349216804|6115568353|3527889780|3804434992,34.9592
eval_main_RI1_00000,RI1,fast,Macro-DP-Oracle,1,,5,229.864096,47.304713,23652.356342,0.0,0.0,0.0,0.0,0.0,117,0,3804434992|9802896127|6349216804|6115568353|3527889780,0.038
eval_main_RI1_00000,RI1,fast,Macro-DQN,1,,5,229.864096,47.304713,23652.356342,0.0,0.0,0.0,0.0,0.0,117,0,3804434992|9802896127|6349216804|6115568353|3527889780,36.125
eval_main_RI1_00001,RI1,fast,Greedy-Time-Base,1,,5,126.541863,25.955561,12977.780279,0.0,0.0,0.0,0.0,0.0,106,0,3804506181|6408673406|9110563691|9113120966|9113120998,29.718
eval_main_RI1_00001,RI1,fast,Greedy-Time-SoftPenalty,1,,5,126.541863,25.955561,12977.780279,0.0,0.0,0.0,0.0,0.0,106,0,3804506181|6408673406|9110563691|9113120966|9113120998,31.5495
eval_main_RI1_00001,RI1,fast,Greedy-HazardAware,1,,5,126.541863,25.955561,12977.780279,0.0,0.0,0.0,0.0,0.0,106,0,3804506181|6408673406|9110563691|9113120966|9113120998,24.8499
eval_main_RI1_00001,RI1,fast,Macro-DP-Oracle,1,,5,126.541863,25.955561,12977.780279,0.0,0.0,0.0,0.0,0.0,106,0,3804506181|6408673406|9110563691|9113120966|9113120998,0.0296
eval_main_RI1_00001,RI1,fast,Macro-DQN,1,,5,126.541863,25.955561,12977.780279,0.0,0.0,0.0,0.0,0.0,106,0,3804506181|6408673406|9110563691|9113120966|9113120998,33.2425
eval_main_RI1_00002,RI1,fast,Greedy-Time-Base,1,,5,181.084127,37.179553,18589.776549,0.0,0.0,0.0,0.0,0.0,134,0,4061339804|1118275224|1409193853|9998741503|7927311476,33.5968
eval_main_RI1_00002,RI1,fast,Greedy-Time-SoftPenalty,1,,5,181.084127,37.179553,18589.776549,0.0,0.0,0.0,0.0,0.0,134,0,4061339804|1118275224|1409193853|9998741503|7927311476,32.9657
eval_main_RI1_00002,RI1,fast,Greedy-HazardAware,1,,5,181.084127,37.179553,18589.776549,0.0,0.0,0.0,0.0,0.0,134,0,4061339804|1118275224|1409193853|9998741503|7927311476,34.4811
eval_main_RI1_00002,RI1,fast,Macro-DP-Oracle,1,,5,181.084127,37.179553,18589.776549,0.0,0.0,0.0,0.0,0.0,134,0,4061339804|1118275224|1409193853|9998741503|7927311476,0.0431
eval_main_RI1_00002,RI1,fast,Macro-DQN,1,,5,181.084127,37.179553,18589.776549,0.0,0.0,0.0,0.0,0.0,134,0,4061339804|1118275224|1409193853|9998741503|7927311476,31.6593
eval_main_RI1_00003,RI1,fast,Greedy-Time-Base,1,,5,157.986777,32.447439,16223.719649,0.0,0.0,0.0,0.0,0.0,112,0,1142031886|1772255534|3527889770|1141864082|7994669417,20.103
eval_main_RI1_00003,RI1,fast,Greedy-Time-SoftPenalty,1,,5,157.986777,32.447439,16223.719649,0.0,0.0,0.0,0.0,0.0,112,0,1142031886|1772255534|3527889770|1141864082|7994669417,24.8367
eval_main_RI1_00003,RI1,fast,Greedy-HazardAware,1,,5,157.986777,32.447439,16223.719649,0.0,0.0,0.0,0.0,0.0,112,0,1142031886|1772255534|3527889770|1141864082|7994669417,24.2298
eval_main_RI1_00003,RI1,fast,Macro-DP-Oracle,1,,5,141.606309,29.08194,14540.970038,0.0,0.0,0.0,0.0,0.0,101,0,1142031886|3527889770|1772255534|1141864082|7994669417,0.0377
eval_main_RI1_00003,RI1,fast,Macro-DQN,1,,5,141.606309,29.08194,14540.970038,0.0,0.0,0.0,0.0,0.0,101,0,1142031886|3527889770|1772255534|1141864082|7994669417,27.817
