profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI1,Greedy-HazardAware,300,1.0,5.0,70.151279,44.147601,22073.800437,0.0,0.0,0.0,0.0,0.0,154.843333,0.0,30.860463
balanced,RI1,Greedy-Time-Base,300,1.0,5.0,70.210468,44.166985,22083.492728,0.0,0.0,0.0,0.0,0.0,157.75,0.0,35.125909
balanced,RI1,Greedy-Time-SoftPenalty,300,1.0,5.0,70.210468,44.166985,22083.492728,0.0,0.0,0.0,0.0,0.0,157.75,0.0,33.366823
balanced,RI1,Macro-DP-Oracle,300,1.0,5.0,66.23042,41.690694,20845.347096,0.0,0.0,0.0,0.0,0.0,144.546667,0.0,0.036699
balanced,RI1,Macro-DQN,300,1.0,5.0,67.748372,42.646082,21323.04117,0.0,0.0,0.0,0.0,0.0,147.88,0.0,33.640325
balanced,RI2,Greedy-HazardAware,300,1.0,5.0,497.996957,84.49954,29422.904028,45.582205,45.582205,0.0,2.756453,44.203978,203.186667,0.0,32.474359
balanced,RI2,Greedy-Time-Base,300,1.0,5.0,1164.832392,102.037979,21488.509162,125.592218,125.592218,0.0,4.916896,123.13377,153.346667,0.0,30.719822
balanced,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,551.095964,79.128024,25397.358753,53.292605,53.292605,0.0,2.970235,51.807488,179.47,0.0,34.005398
balanced,RI2,Macro-DP-Oracle,300,1.0,5.0,489.575714,80.858179,27818.826483,45.255812,45.255812,0.0,2.722989,43.894318,188.023333,0.0,0.037093
balanced,RI2,Macro-DQN,300,1.0,5.0,492.623172,82.687528,28656.052982,45.270281,45.270281,0.0,2.729866,43.905348,196.923333,0.0,36.429754
balanced,RI3,Greedy-HazardAware,300,1.0,5.0,1318.334928,146.373993,30489.83617,136.093402,136.093402,3.406357,5.077051,131.851698,213.09,0.0,36.273955
balanced,RI3,Greedy-Time-Base,300,1.0,5.0,2296.036645,177.612698,21905.618981,252.309335,252.309335,2.261699,6.826461,247.765254,156.2,0.0,31.719779
balanced,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,1381.499201,137.695163,25430.278976,145.715279,145.715279,3.097375,4.781094,141.776044,180.656667,0.0,33.101064
balanced,RI3,Macro-DP-Oracle,300,1.0,5.0,1289.196761,139.516563,28563.672286,133.806626,133.806626,2.903406,4.970065,129.86989,194.3,0.0,0.039106
balanced,RI3,Macro-DQN,300,1.0,5.0,1293.77816,141.547506,29186.356096,133.976921,133.976921,3.10287,4.988129,129.931422,200.606667,0.0,37.26088
balanced,RI4,Greedy-HazardAware,300,1.0,5.0,2672.580356,258.603226,26904.738677,283.598809,283.598809,2.219412,6.786609,279.095799,193.526667,0.0,31.673641
balanced,RI4,Greedy-Time-Base,300,1.0,5.0,3628.90661,310.802162,21918.450909,393.045504,393.045504,2.547608,7.543822,387.999789,157.38,0.0,33.189062
balanced,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,2691.36872,253.685049,25334.284262,286.91808,286.91808,2.033279,6.74613,282.528375,181.203333,0.0,33.209655
balanced,RI4,Macro-DP-Oracle,300,1.0,5.0,2558.40939,243.794925,24806.681267,272.226749,272.226749,1.982024,6.518625,267.976425,175.203333,0.0,0.037194
balanced,RI4,Macro-DQN,300,1.0,5.0,2573.9617,246.565719,25340.783085,273.626231,273.626231,2.020816,6.587804,269.321921,180.283333,0.0,37.481213
balanced,RI5,Greedy-HazardAware,300,1.0,5.0,3127.985403,365.078437,26873.413136,319.843471,319.843471,2.678522,6.742624,315.132898,192.663333,0.0,30.424428
balanced,RI5,Greedy-Time-Base,300,1.0,5.0,4092.370409,431.347766,21221.775227,427.571033,427.571033,3.007191,7.357046,422.388914,151.24,0.0,29.946729
balanced,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,3138.644021,357.293892,25427.970775,322.705486,322.705486,2.444558,6.818697,318.073859,178.586667,0.0,33.093612
balanced,RI5,Macro-DP-Oracle,300,1.0,5.0,2974.415513,343.586933,24963.894582,304.843306,304.843306,2.414597,6.489263,300.391376,175.463333,0.0,0.036897
balanced,RI5,Macro-DQN,300,1.0,5.0,3001.020695,347.743475,25452.271671,307.355796,307.355796,2.46902,6.55855,302.842011,180.086667,0.0,35.107495
fast,RI1,Greedy-HazardAware,300,1.0,5.0,215.10192,44.167012,22083.506216,0.0,0.0,0.0,0.0,0.0,157.7,0.0,37.565685
fast,RI1,Greedy-Time-Base,300,1.0,5.0,215.10229,44.166985,22083.492728,0.0,0.0,0.0,0.0,0.0,157.75,0.0,38.560934
fast,RI1,Greedy-Time-SoftPenalty,300,1.0,5.0,215.10229,44.166985,22083.492728,0.0,0.0,0.0,0.0,0.0,157.75,0.0,36.824462
fast,RI1,Macro-DP-Oracle,300,1.0,5.0,202.995354,41.687695,20843.847436,0.0,0.0,0.0,0.0,0.0,145.666667,0.0,0.042153
fast,RI1,Macro-DQN,300,1.0,5.0,204.632887,42.022925,21011.462487,0.0,0.0,0.0,0.0,0.0,147.353333,0.0,49.226012
fast,RI2,Greedy-HazardAware,300,1.0,5.0,437.686554,79.269744,25590.597058,52.655076,52.655076,0.0,2.949041,51.180555,180.28,0.0,29.918466
fast,RI2,Greedy-Time-Base,300,1.0,5.0,620.427137,102.037979,21488.509162,125.592218,125.592218,0.0,4.916896,123.13377,153.346667,0.0,30.512953
fast,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,437.630838,79.128024,25397.358753,53.292605,53.292605,0.0,2.970235,51.807488,179.47,0.0,29.96227
fast,RI2,Macro-DP-Oracle,300,1.0,5.0,419.527605,75.651992,24045.486941,52.131474,52.131474,0.0,2.878629,50.69216,165.743333,0.0,0.034106
