profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,516.858284,1413.365024,-896.50674,47.031064,153.609259,-106.578195,47.031064,153.609259,-106.578195,89.129905,117.681117,-28.551212,45.566116,150.781512,-105.215396
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,516.858284,584.414624,-67.55634,47.031064,56.175038,-9.143974,47.031064,56.175038,-9.143974,89.129905,85.64495,3.484955,45.566116,54.598266,-9.03215
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,516.858284,523.985334,-7.12705,47.031064,47.487956,-0.456892,47.031064,47.487956,-0.456892,89.129905,91.30522,-2.175315,45.566116,45.998895,-0.432779
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1281.722771,2382.963871,-1101.2411,132.632302,262.289444,-129.657142,132.632302,262.289444,-129.657142,140.724201,182.183059,-41.458858,128.57005,257.696295,-129.126245
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1281.722771,1360.711819,-78.989048,132.632302,143.147523,-10.515221,132.632302,143.147523,-10.515221,140.724201,137.532544,3.191657,128.57005,139.1932,-10.62315
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1281.722771,1298.661564,-16.938793,132.632302,133.843491,-1.211189,132.632302,133.843491,-1.211189,140.724201,145.308399,-4.584198,128.57005,129.582604,-1.012554
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2452.570632,3595.552794,-1142.982162,260.105808,389.480717,-129.374909,260.105808,389.480717,-129.374909,238.050914,307.687365,-69.636451,255.897172,384.469184,-128.572012
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2452.570632,2563.856922,-111.28629,260.105808,272.83917,-12.733362,260.105808,272.83917,-12.733362,238.050914,244.10813,-6.057216,255.897172,268.564128,-12.666956
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2452.570632,2544.544893,-91.974261,260.105808,269.316841,-9.211033,260.105808,269.316841,-9.211033,238.050914,249.727429,-11.676515,255.897172,264.928303,-9.031131
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3052.317974,4246.881822,-1194.563848,312.13659,443.508653,-131.372063,312.13659,443.508653,-131.372063,356.104998,448.686854,-92.581856,307.467557,438.099782,-130.632225
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3052.317974,3193.332496,-141.014522,312.13659,327.738452,-15.601862,312.13659,327.738452,-15.601862,356.104998,366.530684,-10.425686,307.467557,322.931263,-15.463706
