profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI2,Greedy-HazardAware,300,1.0,5.0,523.985334,91.30522,32126.787972,47.487956,47.487956,0.0,2.978122,45.998895,219.86,0.0,0.055725
balanced,RI2,Greedy-Time-Base,300,1.0,5.0,1413.365024,117.681117,23090.312456,153.609259,153.609259,0.0,5.655494,150.781512,162.123333,0.0,0.814293
balanced,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,584.414624,85.64495,27789.641086,56.175038,56.175038,0.0,3.153544,54.598266,192.696667,0.0,37.817522
balanced,RI2,Macro-DP-Oracle,300,1.0,5.0,513.713389,87.132501,30311.312925,47.037438,47.037438,0.0,2.911493,45.581691,201.496667,0.0,0.042863
balanced,RI2,Macro-DQN,300,1.0,5.0,516.858284,89.129905,31226.757412,47.031064,47.031064,0.0,2.929896,45.566116,210.7,0.0,41.568278
balanced,RI3,Greedy-HazardAware,300,1.0,5.0,1298.661564,145.308399,30417.589108,133.843491,133.843491,3.445089,5.076685,129.582604,211.27,0.0,0.062224
balanced,RI3,Greedy-Time-Base,300,1.0,5.0,2382.963871,182.183059,21936.555622,262.289444,262.289444,2.158288,7.028011,257.696295,154.626667,0.0,0.974193
balanced,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,1360.711819,137.532544,25837.030096,143.147523,143.147523,3.106149,4.802498,139.1932,181.393333,0.0,42.409971
balanced,RI3,Macro-DP-Oracle,300,1.0,5.0,1277.893177,138.908215,28504.212316,132.514416,132.514416,2.934324,4.989625,128.552442,192.243333,0.0,0.050073
balanced,RI3,Macro-DQN,300,1.0,5.0,1281.722771,140.724201,29060.410853,132.632302,132.632302,3.118375,5.006129,128.57005,198.7,0.0,49.750681
balanced,RI4,Greedy-HazardAware,300,1.0,5.0,2544.544893,249.727429,26904.379245,269.316841,269.316841,2.12728,6.649794,264.928303,194.803333,0.0,0.061333
balanced,RI4,Greedy-Time-Base,300,1.0,5.0,3595.552794,307.687365,21772.110909,389.480717,389.480717,2.457429,7.565636,384.469184,157.85,0.0,0.990452
balanced,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,2563.856922,244.10813,25146.853591,272.83917,272.83917,1.910223,6.639861,268.564128,181.35,0.0,45.168746
balanced,RI4,Macro-DP-Oracle,300,1.0,5.0,2437.34955,235.556837,24927.813389,258.693042,258.693042,1.880324,6.445574,254.530093,176.336667,0.0,0.05098
balanced,RI4,Macro-DQN,300,1.0,5.0,2452.570632,238.050914,25403.065317,260.105808,260.105808,1.919432,6.497841,255.897172,180.666667,0.0,46.061199
balanced,RI5,Greedy-HazardAware,300,1.0,5.0,3170.175596,374.695217,28086.901603,323.240088,323.240088,2.772042,7.012068,318.348033,199.996667,0.0,0.065881
balanced,RI5,Greedy-Time-Base,300,1.0,5.0,4246.881822,448.686854,22007.157338,443.508653,443.508653,3.086836,7.730907,438.099782,157.89,0.0,1.027877
balanced,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,3193.332496,366.530684,26553.63899,327.738452,327.738452,2.478655,7.135724,322.931263,185.716667,0.0,47.268187
balanced,RI5,Macro-DP-Oracle,300,1.0,5.0,3033.912931,352.664319,26027.514291,310.509595,310.509595,2.428822,6.810174,305.890097,181.6,0.0,0.055858
balanced,RI5,Macro-DQN,300,1.0,5.0,3052.317974,356.104998,26480.263826,312.13659,312.13659,2.47532,6.862745,307.467557,185.846667,0.0,51.542927
fast,RI2,Greedy-HazardAware,300,1.0,5.0,471.66942,85.760662,28049.129468,55.116041,55.116041,0.0,3.144123,53.54398,194.443333,0.0,38.868422
fast,RI2,Greedy-Time-Base,300,1.0,5.0,724.158516,117.681117,23090.312456,153.609259,153.609259,0.0,5.655494,150.781512,162.123333,0.0,41.29852
fast,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,472.151541,85.64495,27789.641086,56.175038,56.175038,0.0,3.153544,54.598266,192.696667,0.0,37.56115
fast,RI2,Macro-DP-Oracle,300,1.0,5.0,451.259782,81.797999,26461.931781,54.015651,54.015651,0.0,3.056337,52.487482,179.263333,0.0,0.043842
fast,RI2,Macro-DQN,300,1.0,5.0,454.224467,82.341815,26645.403541,54.327364,54.327364,0.0,3.079097,52.787816,181.653333,0.0,40.650767
fast,RI3,Greedy-HazardAware,300,1.0,5.0,810.106263,137.869138,26149.916479,141.73565,141.73565,3.208073,4.764282,137.749473,184.383333,0.0,44.338137
fast,RI3,Greedy-Time-Base,300,1.0,5.0,1144.597639,182.183059,21936.555622,262.289444,262.289444,2.158288,7.028011,257.696295,154.626667,0.0,45.321647
fast,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,809.860977,137.532544,25837.030096,143.147523,143.147523,3.106149,4.802498,139.1932,181.393333,0.0,46.802172
fast,RI3,Macro-DP-Oracle,300,1.0,5.0,780.699419,131.995871,24271.980827,140.907614,140.907614,2.776356,4.690933,137.173969,165.926667,0.0,0.049477
fast,RI3,Macro-DQN,300,1.0,5.0,783.40994,132.624335,24545.249787,140.553365,140.553365,2.840438,4.695026,136.785633,168.573333,0.0,51.024143
fast,RI4,Greedy-HazardAware,300,1.0,5.0,1454.494146,244.543852,25473.749066,270.409435,270.409435,1.982012,6.576305,266.130276,184.023333,0.0,48.034856
fast,RI4,Greedy-Time-Base,300,1.0,5.0,1878.570288,307.687365,21772.110909,389.480717,389.480717,2.457429,7.565636,384.469184,157.85,0.0,48.710436
fast,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,1454.790652,244.10813,25146.853591,272.83917,272.83917,1.910223,6.639861,268.564128,181.35,0.0,53.506964
fast,RI4,Macro-DP-Oracle,300,1.0,5.0,1392.260336,233.503047,24059.359015,261.697275,261.697275,1.779563,6.442234,257.586376,169.523333,0.0,0.053187
fast,RI4,Macro-DQN,300,1.0,5.0,1400.731508,235.005426,24180.158408,262.891643,262.891643,1.82188,6.443349,258.759029,170.88,0.0,57.821776
fast,RI5,Greedy-HazardAware,300,1.0,5.0,2100.566285,366.836257,26862.053905,325.222767,325.222767,2.526928,7.105024,320.406791,187.78,0.0,44.747941
fast,RI5,Greedy-Time-Base,300,1.0,5.0,2614.259056,448.686854,22007.157338,443.508653,443.508653,3.086836,7.730907,438.099782,157.89,0.0,47.047682
fast,RI5,Greedy-Time-SoftPenalty,300,1.0,5.0,2101.584051,366.530684,26553.63899,327.738452,327.738452,2.478655,7.135724,322.931263,185.716667,0.0,47.818984
fast,RI5,Macro-DP-Oracle,300,1.0,5.0,2000.511472,348.461294,25235.997222,314.155037,314.155037,2.247934,6.942807,309.559666,172.426667,0.0,0.04909
fast,RI5,Macro-DQN,300,1.0,5.0,2009.893851,350.166991,25471.034243,315.273678,315.273678,2.261557,6.987593,310.649103,174.183333,0.0,48.653628
safe,RI2,Greedy-HazardAware,300,1.0,5.0,1922.42913,92.44036,32722.937049,47.366509,47.366509,0.0,2.786273,45.973372,223.153333,0.0,53.939152
safe,RI2,Greedy-Time-Base,300,1.0,5.0,6178.50175,117.681117,23090.312456,153.609259,153.609259,0.0,5.655494,150.781512,162.123333,0.0,56.795066
safe,RI2,Greedy-Time-SoftPenalty,300,1.0,5.0,2272.58847,85.64495,27789.641086,56.175038,56.175038,0.0,3.153544,54.598266,192.696667,0.0,59.511397
safe,RI2,Macro-DP-Oracle,300,1.0,5.0,1903.21734,88.220216,30873.453127,46.920047,46.920047,0.0,2.762607,45.538743,204.406667,0.0,0.05704
safe,RI2,Macro-DQN,300,1.0,5.0,1907.305488,93.629166,33342.688119,46.979191,46.979191,0.0,2.793329,45.582526,227.22,0.0,59.665618
safe,RI3,Greedy-HazardAware,300,1.0,5.0,5386.089719,151.058193,33316.92859,133.548875,133.548875,2.989043,4.984887,129.56191,240.39,0.0,57.220641
safe,RI3,Greedy-Time-Base,300,1.0,5.0,10543.4533,182.183059,21936.555622,262.289444,262.289444,2.158288,7.028011,257.696295,154.626667,0.0,45.488101
safe,RI3,Greedy-Time-SoftPenalty,300,1.0,5.0,5765.709107,137.532544,25837.030096,143.147523,143.147523,3.106149,4.802498,139.1932,181.393333,0.0,46.653857
safe,RI3,Macro-DP-Oracle,300,1.0,5.0,5332.267061,143.627051,30908.779656,132.260351,132.260351,2.536231,4.917579,128.533446,217.513333,0.0,0.055224
safe,RI3,Macro-DQN,300,1.0,5.0,5341.588468,149.097096,32834.669457,132.451137,132.451137,2.873907,4.936099,128.546134,235.393333,0.0,51.674761
safe,RI4,Greedy-HazardAware,300,1.0,5.0,10843.762419,252.031899,27911.004159,269.303148,269.303148,2.097877,6.741659,264.883379,201.106667,0.0,51.589107
safe,RI4,Greedy-Time-Base,300,1.0,5.0,15665.807809,307.687365,21772.110909,389.480717,389.480717,2.457429,7.565636,384.469184,157.85,0.0,48.765577
safe,RI4,Greedy-Time-SoftPenalty,300,1.0,5.0,10982.816737,244.10813,25146.853591,272.83917,272.83917,1.910223,6.639861,268.564128,181.35,0.0,46.14776
safe,RI4,Macro-DP-Oracle,300,1.0,5.0,10411.984842,237.673779,25866.149406,258.61253,258.61253,1.852425,6.53288,254.419877,182.473333,0.0,0.053261
