profile,ri_key,baseline,dqn_success_rate,baseline_success_rate,success_rate_delta,dqn_objective,baseline_objective,objective_delta_success,dqn_risk,baseline_risk,risk_delta_success,dqn_common_risk,baseline_common_risk,common_risk_delta_success,dqn_time,baseline_time,time_delta_success,dqn_blockage,baseline_blockage,blockage_delta_success
balanced,RI2,Greedy-Time-Base,1.0,1.0,0.0,566.100772,912.718392,-346.61762,51.776552,96.358264,-44.581712,51.776552,96.358264,-44.581712,96.230411,90.238059,5.992352,50.000709,94.019607,-44.018898
balanced,RI2,Greedy-Time-SoftPenalty,1.0,1.0,0.0,566.100772,690.198779,-124.098007,51.776552,69.395398,-17.618846,51.776552,69.395398,-17.618846,96.230411,85.694465,10.535946,50.000709,67.447557,-17.446848
balanced,RI2,Greedy-HazardAware,1.0,1.0,0.0,566.100772,583.106185,-17.005413,51.776552,52.576876,-0.800324,51.776552,52.576876,-0.800324,96.230411,102.903067,-6.672656,50.000709,50.677228,-0.676519
balanced,RI3,Greedy-Time-Base,1.0,1.0,0.0,1294.741695,1748.218212,-453.476517,133.821947,190.696226,-56.874279,133.821947,190.696226,-56.874279,142.934296,142.375709,0.558587,129.688816,186.952362,-57.263546
balanced,RI3,Greedy-Time-SoftPenalty,1.0,1.0,0.0,1294.741695,1448.985421,-154.243726,133.821947,154.642647,-20.8207,133.821947,154.642647,-20.8207,142.934296,135.262411,7.671885,129.688816,150.842584,-21.153768
balanced,RI3,Greedy-HazardAware,1.0,1.0,0.0,1294.741695,1376.517846,-81.776151,133.821947,141.165693,-7.343746,133.821947,141.165693,-7.343746,142.934296,157.546022,-14.611726,129.688816,136.544267,-6.855451
balanced,RI4,Greedy-Time-Base,1.0,1.0,0.0,2980.474745,3601.898852,-621.424107,317.843594,391.485263,-73.641669,317.843594,391.485263,-73.641669,280.482073,301.500452,-21.018379,312.950023,386.436235,-73.486212
balanced,RI4,Greedy-Time-SoftPenalty,1.0,1.0,0.0,2980.474745,3237.266018,-256.791273,317.843594,347.10196,-29.258366,317.843594,347.10196,-29.258366,280.482073,295.098211,-14.616138,312.950023,341.997978,-29.047955
balanced,RI4,Greedy-HazardAware,1.0,1.0,0.0,2980.474745,3271.288358,-290.813613,317.843594,346.185579,-28.341985,317.843594,346.185579,-28.341985,280.482073,321.427552,-40.945479,312.950023,340.637072,-27.687049
balanced,RI5,Greedy-Time-Base,1.0,1.0,0.0,3200.606294,3895.221313,-694.615019,328.123857,408.347849,-80.223992,328.123857,408.347849,-80.223992,369.241421,403.485911,-34.24449,323.285614,403.303883,-80.018269
balanced,RI5,Greedy-Time-SoftPenalty,1.0,1.0,0.0,3200.606294,3465.587118,-264.980824,328.123857,356.915708,-28.791851,328.123857,356.915708,-28.791851,369.241421,391.492442,-22.251021,323.285614,351.752285,-28.466671
balanced,RI5,Greedy-HazardAware,1.0,1.0,0.0,3200.606294,3517.887752,-317.281458,328.123857,356.705538,-28.581681,328.123857,356.705538,-28.581681,369.241421,425.947244,-56.705823,323.285614,351.089684,-27.80407
fast,RI2,Greedy-Time-Base,1.0,1.0,0.0,462.064785,534.240637,-72.175852,66.963276,96.358264,-29.394988,66.963276,96.358264,-29.394988,81.369683,90.238059,-8.868376,65.111661,94.019607,-28.907946
