scenario_id,ri_key,profile,algorithm,success,failure_reason,delivered,objective,travel_time_min,distance_m,flood_exposure,landslide_exposure,blockage_exposure,risk_exposure,common_risk_exposure,hops,replan_count,visit_order,wall_time_ms
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-Time-Base,1,,5,755.887457,124.100237,25471.313593,0.0,7.257338,150.407601,154.03627,154.03627,189,0,1409193584|3527889347|1763188073|9112467017|12685093003,68.8272
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-Time-SoftPenalty,1,,5,697.453033,116.574718,26878.917847,0.0,5.0241,129.331831,131.843881,131.843881,203,0,1409193584|1763188073|9112467017|3527889347|12685093003,71.2408
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Greedy-HazardAware,1,,5,697.453033,116.574718,26878.917847,0.0,5.0241,129.331831,131.843881,131.843881,203,0,1409193584|1763188073|9112467017|3527889347|12685093003,72.3602
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Macro-DP-Oracle,1,,5,662.67709,111.350523,26359.071719,0.0,4.865746,119.961376,122.394249,122.394249,196,0,3527889347|1763188073|9112467017|1409193584|12685093003,0.0705
eval_risk_time_tradeoff_RI2_00000,RI2,fast,Macro-DQN,1,,5,662.67709,111.350523,26359.071719,0.0,4.865746,119.961376,122.394249,122.394249,196,0,3527889347|1763188073|9112467017|1409193584|12685093003,66.0336
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-Time-Base,1,,5,797.272277,126.554725,21177.510226,0.0,6.13704,180.876375,183.944895,183.944895,150,0,5525078975|9591750544|3806341299|12485994756|12125194131,42.9142
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-Time-SoftPenalty,1,,5,609.710743,98.456206,18590.288573,0.0,4.786713,129.901974,132.295331,132.295331,143,0,5525078975|12125194131|12485994756|9591750544|3806341299,61.1654
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Greedy-HazardAware,1,,5,625.984626,103.746299,22849.659612,0.0,4.6467,120.560973,122.884323,122.884323,154,0,5525078975|12485994756|9591750544|3806341299|12125194131,65.9957
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Macro-DP-Oracle,1,,5,609.710743,98.456206,18590.288573,0.0,4.786713,129.901974,132.295331,132.295331,143,0,5525078975|12125194131|12485994756|9591750544|3806341299,0.0527
eval_risk_time_tradeoff_RI2_00001,RI2,fast,Macro-DQN,1,,5,609.710743,98.456206,18590.288573,0.0,4.786713,129.901974,132.295331,132.295331,143,0,5525078975|12125194131|12485994756|9591750544|3806341299,67.2534
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-Time-Base,1,,5,727.493534,118.80303,23466.452668,0.0,7.916099,147.853587,151.811637,151.811637,133,0,13571051743|3530013237|7994627584|7927149626|7904714603,44.1536
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-Time-SoftPenalty,1,,5,694.442145,114.511222,23927.49033,0.0,7.676123,135.550882,139.388944,139.388944,145,0,13571051743|3530013237|7994627584|7927149626|7904714603,42.5945
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Greedy-HazardAware,1,,5,691.907768,114.650229,25063.564291,0.0,6.31471,132.605183,135.762539,135.762539,187,0,13571051743|3530013237|7994627584|7904714603|7927149626,46.4641
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Macro-DP-Oracle,1,,5,689.693112,114.194202,24853.792032,0.0,6.31471,132.605183,135.762539,135.762539,186,0,3530013237|13571051743|7994627584|7904714603|7927149626,0.057
eval_risk_time_tradeoff_RI2_00002,RI2,fast,Macro-DQN,1,,5,689.693112,114.194202,24853.792032,0.0,6.31471,132.605183,135.762539,135.762539,186,0,3530013237|13571051743|7994627584|7904714603|7927149626,49.9376
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-Time-Base,1,,5,357.732545,62.35774,17523.597442,0.0,2.482792,53.293361,54.534757,54.534757,173,0,1142052245|3801787987|8370439180|6449160524|1631322481,37.5856
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-Time-SoftPenalty,1,,5,307.512111,56.443747,19134.354236,0.0,1.77573,32.217591,33.105456,33.105456,153,0,6449160524|1142052245|8370439180|3801787987|1631322481,38.0587
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Greedy-HazardAware,1,,5,307.512111,56.443747,19134.354236,0.0,1.77573,32.217591,33.105456,33.105456,153,0,6449160524|1142052245|8370439180|3801787987|1631322481,38.8899
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Macro-DP-Oracle,1,,5,268.191368,48.38483,15427.252463,0.0,1.77573,32.217591,33.105456,33.105456,117,0,6449160524|1142052245|3801787987|8370439180|1631322481,0.0575
eval_risk_time_tradeoff_RI2_00003,RI2,fast,Macro-DQN,1,,5,268.191368,48.38483,15427.252463,0.0,1.77573,32.217591,33.105456,33.105456,117,0,6449160524|3801787987|1142052245|8370439180|1631322481,42.0152
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-Time-Base,1,,5,531.382078,87.182644,18499.32862,0.0,3.036837,106.950154,108.468573,108.468573,143,0,8725221759|1556433891|3527889347|1846909752|7920217590,50.7227
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-Time-SoftPenalty,1,,5,452.93888,82.543183,27326.221625,0.0,2.544346,50.532626,51.804799,51.804799,208,0,8725221759|1556433891|3527889347|1846909752|7920217590,62.7486
eval_risk_time_tradeoff_RI2_00004,RI2,fast,Greedy-HazardAware,1,,5,452.93888,82.543183,27326.221625,0.0,2.544346,50.532626,51.804799,51.804799,208,0,8725221759|1556433891|1846909752|3527889347|7920217590,67.3857
