profile,ri_key,algorithm,n,success_rate,avg_delivered,avg_objective_success,avg_time_success,avg_distance_m_success,avg_risk_success,avg_common_risk_success,avg_flood_success,avg_landslide_success,avg_blockage_success,avg_hops_success,avg_replans,avg_runtime_ms
balanced,RI2,Greedy-HazardAware,100,1.0,5.0,583.106185,102.903067,36253.092864,52.576876,52.576876,0.0,3.799295,50.677228,258.57,0.0,0.083235
balanced,RI2,Greedy-Time-Base,100,1.0,5.0,912.718392,90.238059,21732.855301,96.358264,96.358264,0.0,4.677314,94.019607,162.75,0.0,1.336292
balanced,RI2,Greedy-Time-SoftPenalty,100,1.0,5.0,690.198779,85.694465,25044.384037,69.395398,69.395398,0.0,3.895682,67.447557,187.13,0.0,59.453034
balanced,RI2,Macro-DP-Oracle,100,1.0,5.0,561.55476,93.900949,32347.493922,51.67242,51.67242,0.0,3.564625,49.890108,225.87,0.0,0.071726
balanced,RI2,Macro-DQN,100,1.0,5.0,566.100772,96.230411,33402.579038,51.776552,51.776552,0.0,3.551687,50.000709,235.18,0.0,62.818107
balanced,RI3,Greedy-HazardAware,100,1.0,5.0,1376.517846,157.546022,33562.896079,141.165693,141.165693,3.861179,5.381673,136.544267,237.48,0.0,0.077409
balanced,RI3,Greedy-Time-Base,100,1.0,5.0,1748.218212,142.375709,19550.789678,190.696226,190.696226,1.962662,5.525066,186.952362,140.47,0.0,1.237638
balanced,RI3,Greedy-Time-SoftPenalty,100,1.0,5.0,1448.985421,135.262411,22973.142101,154.642647,154.642647,2.759084,4.841041,150.842584,165.42,0.0,58.43563
balanced,RI3,Macro-DP-Oracle,100,1.0,5.0,1289.45855,140.489914,28811.585595,133.644833,133.644833,2.982806,4.929227,129.688816,198.66,0.0,0.069774
balanced,RI3,Macro-DQN,100,1.0,5.0,1294.741695,142.934296,29483.575121,133.821947,133.821947,3.317673,4.948589,129.688816,205.44,0.0,72.465854
balanced,RI4,Greedy-HazardAware,100,1.0,5.0,3271.288358,321.427552,32851.388348,346.185579,346.185579,3.126649,7.970367,340.637072,232.37,0.0,0.078941
balanced,RI4,Greedy-Time-Base,100,1.0,5.0,3601.898852,301.500452,22402.099467,391.485263,391.485263,1.871038,8.227018,386.436235,150.23,0.0,1.30737
balanced,RI4,Greedy-Time-SoftPenalty,100,1.0,5.0,3237.266018,295.098211,27536.201044,347.10196,347.10196,2.214698,7.993267,341.997978,188.46,0.0,59.655709
balanced,RI4,Macro-DP-Oracle,100,1.0,5.0,2949.181561,277.054472,27205.454554,314.602721,314.602721,2.236967,7.467077,309.750699,183.3,0.0,0.066002
balanced,RI4,Macro-DQN,100,1.0,5.0,2980.474745,280.482073,27588.251036,317.843594,317.843594,2.290744,7.496399,312.950023,187.29,0.0,64.015181
balanced,RI5,Greedy-HazardAware,100,1.0,5.0,3517.887752,425.947244,33741.754641,356.705538,356.705538,3.309091,7.922618,351.089684,234.58,0.0,0.078263
balanced,RI5,Greedy-Time-Base,100,1.0,5.0,3895.221313,403.485911,21412.778727,408.347849,408.347849,2.269523,7.818409,403.303883,144.45,0.0,1.269544
balanced,RI5,Greedy-Time-SoftPenalty,100,1.0,5.0,3465.587118,391.492442,28192.658257,356.915708,356.915708,2.505704,7.821142,351.752285,190.46,0.0,55.948762
balanced,RI5,Macro-DP-Oracle,100,1.0,5.0,3170.648186,366.066318,26755.90902,325.000597,325.000597,2.513244,7.066982,320.210484,179.73,0.0,0.06814
balanced,RI5,Macro-DQN,100,1.0,5.0,3200.606294,369.241421,27131.084011,328.123857,328.123857,2.516871,7.159616,323.285614,183.54,0.0,70.907996
fast,RI2,Greedy-HazardAware,100,1.0,5.0,486.623087,86.344009,25758.154885,67.281256,67.281256,0.0,3.868225,65.347143,191.27,0.0,60.350139
fast,RI2,Greedy-Time-Base,100,1.0,5.0,534.240637,90.238059,21732.855301,96.358264,96.358264,0.0,4.677314,94.019607,162.75,0.0,56.554505
fast,RI2,Greedy-Time-SoftPenalty,100,1.0,5.0,485.555614,85.694465,25044.384037,69.395398,69.395398,0.0,3.895682,67.447557,187.13,0.0,69.397197
fast,RI2,Macro-DP-Oracle,100,1.0,5.0,458.550986,80.667709,23275.197778,66.874965,66.874965,0.0,3.675119,65.037406,168.89,0.0,0.064255
fast,RI2,Macro-DQN,100,1.0,5.0,462.064785,81.369683,23573.190883,66.963276,66.963276,0.0,3.70323,65.111661,172.07,0.0,63.653904
fast,RI3,Greedy-HazardAware,100,1.0,5.0,820.533781,137.721263,24064.37355,152.981597,152.981597,3.014925,4.827074,149.060598,174.03,0.0,58.196762
fast,RI3,Greedy-Time-Base,100,1.0,5.0,880.414674,142.375709,19550.789678,190.696226,190.696226,1.962662,5.525066,186.952362,140.47,0.0,54.063373
fast,RI3,Greedy-Time-SoftPenalty,100,1.0,5.0,810.221437,135.262411,22973.142101,154.642647,154.642647,2.759084,4.841041,150.842584,165.42,0.0,57.613128
fast,RI3,Macro-DP-Oracle,100,1.0,5.0,772.565267,129.087622,22095.972963,146.940525,146.940525,2.53604,4.552912,143.396049,155.21,0.0,0.063569
fast,RI3,Macro-DQN,100,1.0,5.0,777.98922,130.134245,22398.910075,147.273788,147.273788,2.631648,4.560577,143.677675,158.29,0.0,72.027775
fast,RI4,Greedy-HazardAware,100,1.0,5.0,1787.807421,298.484335,28520.777858,342.824294,342.824294,2.443527,7.848548,337.678256,196.4,0.0,69.448092
fast,RI4,Greedy-Time-Base,100,1.0,5.0,1850.588076,301.500452,22402.099467,391.485263,391.485263,1.871038,8.227018,386.436235,150.23,0.0,57.619276
fast,RI4,Greedy-Time-SoftPenalty,100,1.0,5.0,1775.635513,295.098211,27536.201044,347.10196,347.10196,2.214698,7.993267,341.997978,188.46,0.0,59.853806
fast,RI4,Macro-DP-Oracle,100,1.0,5.0,1634.978935,271.223032,24798.814558,322.106565,322.106565,1.968308,7.416618,317.414101,164.77,0.0,0.06494
fast,RI4,Macro-DQN,100,1.0,5.0,1648.701774,273.554419,25073.730426,324.522139,324.522139,1.988474,7.470462,319.792671,168.39,0.0,64.169264
fast,RI5,Greedy-HazardAware,100,1.0,5.0,2263.500887,394.208782,28895.204438,355.747108,355.747108,2.549292,7.885623,350.52965,195.59,0.0,55.107603
